Formation,Std Fm. Name,Age (Mya),Lithology,Lithology Code,VL Lith Name 1,Std Lithology,Std Lithology Code,check codes,TOC,d13C-org,d13C-carb,N,Internal Ref,External Ref,Summary?,"Duplicate Search Key (Std Name, Age, Std Lith Code, TOC, d13-org, d13-org)",Countif Dupl.,Duplicate?,Filtered (K-T),Reason,Filtered (us),Reason
Abitibi,Abitibi,2500,shale,,shale,shale,SH,#N/A,53.04,-37,,50,stra86,Krissansen-Totton 2015,FALSE,Abitibi2500SH53.04-37,0,FALSE,,,,
"Abitibi, Larder Lake",Abitibi,2675,lime,,lime,lime,LS,#N/A,,,-0.2,3,veizer89b,Krissansen-Totton 2015,FALSE,Abitibi2675LS-0.2,0,FALSE,,,,
"Abitibi, Larder Lake",Abitibi,2675,lime,,lime,lime,LS,#N/A,,,-1.09,17,veizer89a,Krissansen-Totton 2015,FALSE,Abitibi2675LS-1.09,0,FALSE,,,,
"Abitibi, Larder Lake",Abitibi,2675,dol,,dol,dol,DOL,#N/A,,,-3.86,31,veizer89a,Krissansen-Totton 2015,FALSE,Abitibi2675DOL-3.86,0,FALSE,,,,
"Abitibi, Larder Lake",Abitibi,2675,carb,,carb,carb,CARB,#N/A,,,-4.79,18,veizer89a,Krissansen-Totton 2015,FALSE,Abitibi2675CARB-4.79,0,FALSE,,,,
"Western Abitibi Greenstone Belt, Canada",Abitibi,2700,shale,,shale,shale,SH,#N/A,11.99183333,-20.35,,6,Jia & Kerrich (2004) G3,Krissansen-Totton 2015,FALSE,Abitibi2700SH11.9918333333333-20.35,0,FALSE,,,,
Afikander Fm,Afikander,2940,shale (diamictite & carbonaceous mudstone) ,,shale (diamictite & carbonaceous mudstone) ,shale (diamictite & carbonaceous mudstone) ,SH,#N/A,0.011818182,-25.38181818,,11,Guy et al. (2012) Precambrian Research,Krissansen-Totton 2015,FALSE,Afikander2940SH0.0118181818181818-25.3818181818182,0,FALSE,,,,
"Upper Carbonate Fm, Alasiikajarvi",Alasiikajarvi,2050,dol,,dol,dol,DOL,#N/A,,,1.4,1,karhu93,Krissansen-Totton 2015,FALSE,Alasiikajarvi2050DOL1.4,0,FALSE,,,,
Albanel (lower),Albanel,2100,dol,,dol,dol,DOL,#N/A,0.2,-22.8,,1,hayes83,Krissansen-Totton 2015,FALSE,Albanel2100DOL0.2-22.8,0,FALSE,,,,
Albanel (lower),Albanel,2100,dol,,dol,dol,DOL,#N/A,,,6.4,2,schid83,Krissansen-Totton 2015,FALSE,Albanel2100DOL6.4,0,FALSE,,,,
Albanel (upper),Albanel,2100,dol,,dol,dol,DOL,#N/A,2.9,-31.4,,1,hayes83,Krissansen-Totton 2015,FALSE,Albanel2100DOL2.9-31.4,0,FALSE,,,,
Albanel (upper),Albanel,2000,dol,,dol,dol,DOL,#N/A,,,0.9,1,schid83,Krissansen-Totton 2015,FALSE,Albanel2000DOL0.9,0,FALSE,,,,
Albanel Formation ,Albanel,2100,,CARB,carbonate,carbonate,CARB,TRUE,,-29.8,,1,HAYE83..93,Strauss 1992 17.10 (Summary),TRUE,Albanel2100CARB-29.8,0,FALSE,,,,
Lower Albanel Formation ,Albanel,2100,,DOL,dolostone,dolostone,DOL,TRUE,0.2,-22.8,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,Albanel2100DOL0.2-22.8,1,TRUE,,,,
Lower Albanel Formation ,Albanel,2100,,DOL,dolostone,dolostone,DOL,TRUE,,,6.4,,SCHI83.149,Strauss 1992 17.3 (Prev),FALSE,Albanel2100DOL6.4,1,TRUE,,,,
Lower Albanel Formation ,Albanel,2100,,DOL,dolostone,dolostone,DOL,TRUE,,,6.3,,SCHI83.149,Strauss 1992 17.3 (Prev),FALSE,Albanel2100DOL6.3,0,FALSE,,,,
Lower Albanel Formation ,Albanel,2100,,DOL,dolostone,dolostone,DOL,TRUE,0.2,-22.8,,1,HAYE83..93,Strauss 1992 17.4 (Summary),TRUE,Albanel2100DOL0.2-22.8,2,TRUE,,,,
Lower Albanel Formation ,Albanel,2100,,DOL,dolostone,dolostone,DOL,TRUE,,,6.4,2,SCHI83.149,Strauss 1992 17.4 (Summary),TRUE,Albanel2100DOL6.4,2,TRUE,,,,
"Lower Albanel, lower banded dolostone unit",Albanel,2100,dol,,dol,dol,DOL,#N/A,,,0.88,18,mirota94,Krissansen-Totton 2015,FALSE,Albanel2100DOL0.88,0,FALSE,,,,
"Lower Albanel, lower banded dolostone unit",Albanel,2100,lime,,lime,lime,LS,#N/A,,,0.79,17,mirota94,Krissansen-Totton 2015,FALSE,Albanel2100LS0.79,0,FALSE,,,,
"Lower Albanel, lower black shale unit",Albanel,2100,dol,,dol,dol,DOL,#N/A,,,-1.49,14,mirota94,Krissansen-Totton 2015,FALSE,Albanel2100DOL-1.49,0,FALSE,,,,
"Lower Albanel, strat. dolostone & shale unit",Albanel,2100,dol,,dol,dol,DOL,#N/A,,,0.68,8,mirota94,Krissansen-Totton 2015,FALSE,Albanel2100DOL0.68,0,FALSE,,,,
"Lower Albanel, upper banded dolostone unit",Albanel,2100,dol,,dol,dol,DOL,#N/A,,,2.78,23,mirota94,Krissansen-Totton 2015,FALSE,Albanel2100DOL2.78,0,FALSE,,,,
"Lower Albanel, upper banded dolostone unit",Albanel,2100,lime,,lime,lime,LS,#N/A,,,1.98,6,mirota94,Krissansen-Totton 2015,FALSE,Albanel2100LS1.98,0,FALSE,,,,
"Lower Albanel, upper black shale unit",Albanel,2100,dol,,dol,dol,DOL,#N/A,,,-1.64,10,mirota94,Krissansen-Totton 2015,FALSE,Albanel2100DOL-1.64,0,FALSE,,,,
Upper Albanel Formation ,Albanel,2100,,DOL,dolostone,dolostone,DOL,TRUE,2.9,-31.4,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,Albanel2100DOL2.9-31.4,1,TRUE,,,,
Upper Albanel Formation ,Albanel,2100,,DOL,dolostone,dolostone,DOL,TRUE,,,0.9,,SCHI83.149,Strauss 1992 17.3 (Prev),FALSE,Albanel2100DOL0.9,0,FALSE,,,,
Upper Albanel Formation ,Albanel,2100,,DOL,dolostone,dolostone,DOL,TRUE,2.9,-31.4,,1,HAYE83..93,Strauss 1992 17.4 (Summary),TRUE,Albanel2100DOL2.9-31.4,2,TRUE,,,,
Upper Albanel Formation ,Albanel,2100,,DOL,dolostone,dolostone,DOL,TRUE,,,0.9,1,SCHI83.149,Strauss 1992 17.4 (Summary),TRUE,Albanel2100DOL0.9,1,TRUE,,,,
Upper Albanel Formation ,Albanel,2100,,CARB,carbonate,carbonate,CARB,TRUE,,0.004,,,HAYE83..93,Strauss 1992 17.9 (Prev),FALSE,Albanel2100CARB0.004,0,FALSE,,,,
"Upper Albanel, banded dolostone unit",Albanel,2000,dol,,dol,dol,DOL,#N/A,,,1.09,21,mirota94,Krissansen-Totton 2015,FALSE,Albanel2000DOL1.09,0,FALSE,,,,
"Upper Albanel, sandy dolostone unit",Albanel,2000,dol,,dol,dol,DOL,#N/A,,,1.1,20,mirota94,Krissansen-Totton 2015,FALSE,Albanel2000DOL1.1,0,FALSE,,,,
Allamoore,Allamoore,1050,chert,,chert,chert,CH,#N/A,0.44,-26.8,,1,pprg92,Krissansen-Totton 2015,FALSE,Allamoore1050CH0.44-26.8,0,FALSE,,,,
Allamoore,Allamoore,1050,chert,,chert,chert,CH,#N/A,0.8,-31.3,,1,hayes83,Krissansen-Totton 2015,FALSE,Allamoore1050CH0.8-31.3,0,FALSE,,,,
Allamoore Fonnation ,Allamoore,1050,,CH,chert,chert,CH,TRUE,0.8,-31.3,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,Allamoore1050CH0.8-31.3,1,TRUE,,,,
Allamoore Formation ,Allamoore,1050,,CH,chert,chert,CH,TRUE,0.8,-31.3,,1,HAYE83..93,Strauss 1992 17.4 (Summary),TRUE,Allamoore1050CH0.8-31.3,2,TRUE,,,,
Allamoore Formation ,Allamoore,1050,,CH,chert,chert,CH,TRUE,0.44,-26.8,,1,PPRG,Strauss 1992 17.4 (Summary),TRUE,Allamoore1050CH0.44-26.8,1,TRUE,,,,
Allamoore Formation ,Allamoore,1050,,CH,chert,chert,CH,TRUE,,-32.4,,1,PPRG,Strauss 1992 17.10 (Summary),TRUE,Allamoore1050CH-32.4,0,FALSE,,,,
Altyn,Altyn,1475,carb,,carb,carb,CARB,#N/A,0.07,-26.4,,1,pprg92,Krissansen-Totton 2015,FALSE,Altyn1475CARB0.07-26.4,0,FALSE,,,,
Altyn Formation ,Altyn,1440,,CARB,carbonate,carbonate,CARB,TRUE,0.07,-26.4,,1,PPRG,Strauss 1992 17.4 (Summary),TRUE,Altyn1440CARB0.07-26.4,0,FALSE,,,,
"Altyn, Belt Sgp",Altyn,1475,lime,,lime,lime,LS,#N/A,,,1.47,3,hall96,Krissansen-Totton 2015,FALSE,Altyn1475LS1.47,0,FALSE,,,,
"Altyn, Belt Sgp",Altyn,1475,dol,,dol,dol,DOL,#N/A,,,1.67,3,hall96,Krissansen-Totton 2015,FALSE,Altyn1475DOL1.67,0,FALSE,,,,
Amberi,Amberi,1920,shale,,shale,shale,SH,#N/A,6.096078431,-29.10784314,,51,Papineau et al. (2009) PrecRes,Krissansen-Totton 2015,FALSE,Amberi1920SH6.09607843137255-29.1078431372549,0,FALSE,,,,
Amelia,Amelia,1650,chert,,chert,chert,CH,#N/A,0.7,-29.4,,1,hayes83,Krissansen-Totton 2015,FALSE,Amelia1650CH0.7-29.4,0,FALSE,,,,
