KEY,Formation,Std_Fm_Name,Location,Lat,Long,Age,Source_Uncertainty,Uncertainty,Known_Uncertainty,Mineralogy,TOC,d13C-org,d13C-carb,N,Internal_Isotope_Ref,Internal_Age_Ref,External_Ref,Strauss_Table,Summary?,Duplicate_Key,Countif_Duplicate,Duplicate,Circular_Citation,KT_Filtered,KT_Reason,Poor_Age_Constraints_(>50Ma),PMCID_Sample_Info,Flagged,Comments
1,Bulawayan Gr.,Bulawayan Gp,Zimbabwe,-19.2,30.1,2600,,130,,CH,,,-0.80,,Schidlowski et al. (1983),,PMCID 1.1a,,FALSE,Bulawayan GpZimbabweCH-0.8,0,FALSE,FALSE,,,X,,,
2,Bulawayan Gr.,Bulawayan Gp,Zimbabwe,-19.2,30.1,2600,,130,,CH,,,-0.70,,Schidlowski et al. (1983),,PMCID 1.1a,,FALSE,Bulawayan GpZimbabweCH-0.7,0,FALSE,FALSE,,,X,,,
3,Bulawayan Gr.,Bulawayan Gp,Zimbabwe,-19.2,30.1,2600,,130,,CAL,,,0.50,,Schidlowski et al. (1983),,PMCID 1.1a,,FALSE,Bulawayan GpZimbabweCAL0.5,0,FALSE,FALSE,,,X,,,
4,Bulawayan Gr.,Bulawayan Gp,Zimbabwe,-19.2,30.1,2600,,130,,CAL,,,0.80,,Schidlowski et al. (1983),,PMCID 1.1a,,FALSE,Bulawayan GpZimbabweCAL0.8,0,FALSE,FALSE,,,X,,,
5,Bulawayan Gr.,Bulawayan Gp,Zimbabwe,-19.2,30.1,2600,,130,,CAL,,,1.20,,Schidlowski et al. (1983),,PMCID 1.1a,,FALSE,Bulawayan GpZimbabweCAL1.2,0,FALSE,FALSE,,,X,,,
6,Lower Fig Tree Gr.,Fig Tree Gp,South Africa,-28.7,25.3,3400,> 3000,400,X,"CAL, DOL",,,0.00,,Schidlowski et al. (1975),,PMCID 1.1a,,FALSE,"Fig Tree GpSouth AfricaCAL, DOL0",0,FALSE,FALSE,,,X,,,
7,Lower Fig Tree Gr.,Fig Tree Gp,South Africa,-28.7,25.3,3400,> 3000,400,X,"CAL, DOL",,,0.00,,Schidlowski et al. (1975),,PMCID 1.1a,,FALSE,"Fig Tree GpSouth AfricaCAL, DOL0",1,FALSE,FALSE,,,X,,,
8,Lower Fig Tree Gr.,Fig Tree Gp,South Africa,-28.7,25.3,3400,> 3000,400,X,"CAL, DOL",,,0.30,,Schidlowski et al. (1975),,PMCID 1.1a,,FALSE,"Fig Tree GpSouth AfricaCAL, DOL0.3",0,FALSE,FALSE,,,X,,,
9,Lower Fig Tree Gr.,Fig Tree Gp,South Africa,-28.7,25.3,3400,> 3000,400,X,"CAL, DOL",,,1.50,,Schidlowski et al. (1975),,PMCID 1.1a,,FALSE,"Fig Tree GpSouth AfricaCAL, DOL1.5",0,FALSE,FALSE,,,X,,,
10,Burra Group,Burra Gp,Australia,-23.7,134.1,800,,50,,CH,,,4.62,,Schidlowski et al. (1983),,PMCID 1.1a,,FALSE,Burra GpAustraliaCH4.62,0,FALSE,FALSE,,,X,cryptalgal microspar (1st),,
