KEY,d13C _Sample,Formation,Std_Fm_Name,Location,Lat,Long,Age,Uncertainty,Known_Uncertainty,Lithology,HC_Ratio,N,Reference,Flags,Notes,Uncertainty_Method
1,17208,Rodda Beds,"Rodda Beds, Ungoolya Gp",Australia,-23.7,134.1,610,31,,,0.75,5,Strauss 1992 3.2.3,,,
2,17209,Pertatatala Formation,Pertatataka Fm,Australia,-23.7,134.1,610,31,,,0.7,16,Strauss 1992 3.2.3,,,
3,17210,Svalbard (Vendian),Unnamed Svalbard (Vendian),Svalbard,78.9,18.3,700,35,,,0.4,6,Strauss 1992 3.2.3,X,<0.4,
4,17211,Tapley Hill Formation,"Tapley Hill Fm, Umberatana Gp",Australia,-23.7,134.1,750,38,,,0.7,1,Strauss 1992 3.2.3,,,
5,17212,Areyonga Formation,"Areyonga Fm, Amadeus Basin",Australia,-23.7,134.1,760,38,,,0.8,1,Strauss 1992 3.2.3,,,
6,17213,Visingso Group,Visingso Gp,Sweden,63.3,16.6,775,39,,,0.625,8,Strauss 1992 3.2.3,,,
7,17214,Chuar Group,Chuar Gp,USA,40.7,-96.2,850,43,,,0.75,2,Strauss 1992 3.2.3,,,
8,17215,Bitter Springs Formation,Bitter Springs Fm,Australia,-23.7,134.1,850,43,,,0.55,20,Strauss 1992 3.2.3,,,
9,17216,Victor Bay Formation,Victor Bay Fm,Canada,59.6,-103.1,1000,50,,,0.45,5,Strauss 1992 3.2.3,,,
10,17217,Nonesuch Formation,Nonesuch Shale,USA,40.7,-96.2,1055,53,,,0.7,6,Strauss 1992 3.2.3,,,
11,17218,McMinn Formation,"McMinn Fm, Roper Gp",Australia,-23.7,134.1,1340,67,,,0.95,23,Strauss 1992 3.2.3,,,
12,17219,Velkerri Formation,"Velkerri Fm, Roper Gp",Australia,-23.7,134.1,1350,68,,,1.15,23,Strauss 1992 3.2.3,,,
13,17220,Lansen Creek Shale,Lansen Creek Shale Mbr,Australia,-23.7,134.1,1350,68,,,0.975,17,Strauss 1992 3.2.3,,,
14,17221,Corcoran Formation,Corcoran Fm,Australia,-23.7,134.1,1360,68,,,0.7,1,Strauss 1992 3.2.3,,,
15,17222,Mainoru Formation,"Mainoru Fm, Roper Gp",Australia,-23.7,134.1,1470,74,,,0.55,2,Strauss 1992 3.2.3,,,
16,17223,Balbarini Dolomite,"Balbirini Dolomite, Nathan Gp",Australia,-23.7,134.1,1482,74,,,1,1,Strauss 1992 3.2.3,,,
17,17224,Yalco Formation,"Yalco Fm, McArthur Gp",Australia,-23.7,134.1,1485,74,,,1.3,2,Strauss 1992 3.2.3,,,
18,17225,Lynott-Carabirini Member,"Lynott Fm, McArthur Gp",Australia,-23.7,134.1,1490,75,,,0.6,7,Strauss 1992 3.2.3,,,
19,17226,Lynott-Donnegan Member,"Lynott Fm, McArthur Gp",Australia,-23.7,134.1,1490,75,,,0.5,2,Strauss 1992 3.2.3,X,<0.5,
20,17227,Lynott-Hot Spring Member,"Lynott Fm, McArthur Gp",Australia,-23.7,134.1,1490,75,,,0.75,6,Strauss 1992 3.2.3,,,
21,17228,Reward Dolomite,"Reward Fm, McArthur Gp",Australia,-23.7,134.1,1495,75,,,0.575,11,Strauss 1992 3.2.3,,,
22,17229,Barney Creek Formation,"Barney Creek Fm, McArthur Gp",Australia,-23.7,134.1,1500,75,,,0.925,15,Strauss 1992 3.2.3,,,
23,17230,Teena Dolomite,"Teena Fm, McArthur Gp",Australia,-23.7,134.1,1510,76,,,0.5,1,Strauss 1992 3.2.3,,,
24,17231,Wooccalla Dolomite,Woocalla Fm,Australia,-23.7,134.1,750,38,,,0.45,2,Strauss 1992 3.2.6,,,
25,17232,Chuar Group,Chuar Gp,USA,40.7,-96.2,850,43,,,0.65,8,Strauss 1992 3.2.6,,,
26,17233,McMinn Formation,"McMinn Fm, Roper Gp",Australia,-23.7,134.1,1340,67,,,1,3,Strauss 1992 3.2.6,,,
27,17234,Barney Creek Formation,"Barney Creek Fm, McArthur Gp",Australia,-23.7,134.1,1500,75,,,0.45,1,Strauss 1992 3.2.6,,,
28,17175,Wonoka Formation,Wonoka Fm,Australia,-23.7,134.1,585,29,,,0.47,1,Strauss 1992 3.2.2,,,
29,17176,Pertatataka Formation,Pertatataka Fm,Australia,-23.7,134.1,610,31,,,0.66,1,Strauss 1992 3.2.2,,,
30,17177,Brachina Formation,Brachina Fm,Australia,-23.7,134.1,650,33,,,0.11,3,Strauss 1992 3.2.2,,,
