Formation,Std Fm. Name,Age (Mya),Std Lithology,Std Lithology Code,TOC,d13C-org,d13C-carb,N,Internal Ref,External Ref,Summary?,Duplicate?,Filtered (K-T),Reason,Filtered (us),Reason
Abitibi,Abitibi,2500,shale,SH,53.04,-37,,50,stra86,Krissansen-Totton 2015,FALSE,FALSE,,,,
"Abitibi, Larder Lake",Abitibi,2675,lime,LS,,,-0.2,3,veizer89b,Krissansen-Totton 2015,FALSE,FALSE,,,,
"Abitibi, Larder Lake",Abitibi,2675,lime,LS,,,-1.09,17,veizer89a,Krissansen-Totton 2015,FALSE,FALSE,,,,
"Abitibi, Larder Lake",Abitibi,2675,dol,DOL,,,-3.86,31,veizer89a,Krissansen-Totton 2015,FALSE,FALSE,,,,
"Abitibi, Larder Lake",Abitibi,2675,carb,CARB,,,-4.79,18,veizer89a,Krissansen-Totton 2015,FALSE,FALSE,,,,
"Western Abitibi Greenstone Belt, Canada",Abitibi,2700,shale,SH,11.99183333,-20.35,,6,Jia & Kerrich (2004) G3,Krissansen-Totton 2015,FALSE,FALSE,,,,
Afikander Fm,Afikander,2940,shale (diamictite & carbonaceous mudstone) ,SH,0.011818182,-25.38181818,,11,Guy et al. (2012) Precambrian Research,Krissansen-Totton 2015,FALSE,FALSE,,,,
"Upper Carbonate Fm, Alasiikajarvi",Alasiikajarvi,2050,dol,DOL,,,1.4,1,karhu93,Krissansen-Totton 2015,FALSE,FALSE,,,,
Albanel (lower),Albanel,2100,dol,DOL,0.2,-22.8,,1,hayes83,Krissansen-Totton 2015,FALSE,FALSE,,,,
Albanel (lower),Albanel,2100,dol,DOL,,,6.4,2,schid83,Krissansen-Totton 2015,FALSE,FALSE,,,,
Albanel (upper),Albanel,2100,dol,DOL,2.9,-31.4,,1,hayes83,Krissansen-Totton 2015,FALSE,FALSE,,,,
Albanel (upper),Albanel,2000,dol,DOL,,,0.9,1,schid83,Krissansen-Totton 2015,FALSE,FALSE,,,,
Albanel Formation ,Albanel,2100,carbonate,CARB,,-29.8,,1,HAYE83..93,Strauss 1992 17.10 (Summary),TRUE,FALSE,,,,
Lower Albanel Formation ,Albanel,2100,dolostone,DOL,0.2,-22.8,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Lower Albanel Formation ,Albanel,2100,dolostone,DOL,,,6.4,,SCHI83.149,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Lower Albanel Formation ,Albanel,2100,dolostone,DOL,,,6.3,,SCHI83.149,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Lower Albanel Formation ,Albanel,2100,dolostone,DOL,0.2,-22.8,,1,HAYE83..93,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Lower Albanel Formation ,Albanel,2100,dolostone,DOL,,,6.4,2,SCHI83.149,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
"Lower Albanel, lower banded dolostone unit",Albanel,2100,dol,DOL,,,0.88,18,mirota94,Krissansen-Totton 2015,FALSE,FALSE,,,,
"Lower Albanel, lower banded dolostone unit",Albanel,2100,lime,LS,,,0.79,17,mirota94,Krissansen-Totton 2015,FALSE,FALSE,,,,
"Lower Albanel, lower black shale unit",Albanel,2100,dol,DOL,,,-1.49,14,mirota94,Krissansen-Totton 2015,FALSE,FALSE,,,,
"Lower Albanel, strat. dolostone & shale unit",Albanel,2100,dol,DOL,,,0.68,8,mirota94,Krissansen-Totton 2015,FALSE,FALSE,,,,
"Lower Albanel, upper banded dolostone unit",Albanel,2100,dol,DOL,,,2.78,23,mirota94,Krissansen-Totton 2015,FALSE,FALSE,,,,
"Lower Albanel, upper banded dolostone unit",Albanel,2100,lime,LS,,,1.98,6,mirota94,Krissansen-Totton 2015,FALSE,FALSE,,,,
"Lower Albanel, upper black shale unit",Albanel,2100,dol,DOL,,,-1.64,10,mirota94,Krissansen-Totton 2015,FALSE,FALSE,,,,
Upper Albanel Formation ,Albanel,2100,dolostone,DOL,2.9,-31.4,,,HAYE83..93,Strauss 1992 17.3 (Prev),FALSE,TRUE,,,,
Upper Albanel Formation ,Albanel,2100,dolostone,DOL,,,0.9,,SCHI83.149,Strauss 1992 17.3 (Prev),FALSE,FALSE,,,,
Upper Albanel Formation ,Albanel,2100,dolostone,DOL,2.9,-31.4,,1,HAYE83..93,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
Upper Albanel Formation ,Albanel,2100,dolostone,DOL,,,0.9,1,SCHI83.149,Strauss 1992 17.4 (Summary),TRUE,TRUE,,,,
