Field ID,Stratigraphic Position Relative to Khc/PgFtu Contact [m],Percent Sand,Percent Silt,Percent Clay,Percent Organic,Rock Type,d13C [‰] (PDB),Standard Devation [‰],Weight Percent Organic Carbon,Excursion
Herman Ridge Section,,,,,,,,,,
MT02-396,4.57,,,,,Mudstone,-24.13,0.1,0.4,
MT02-395,4.37,,,,,Siltstone,-23.75,0.03,0.4,
MT02-394,4.17,,,,,Mudstone,-23.55,0.04,0.5,
MT02-393,3.97,,,,,Siltstone,-23.7,0.01,0.6,
MT02-392,3.77,3,63,24,11,Mudstone,-23.84,0.02,0.4,
MT02-391,3.67,,,,,Siltstone,-24.1,0.07,0.4,
MT02-390,3.57,,,,,Mudstone,-23.81,0.01,59.2,
MT02-389,3.47,,,,,Lignite,-24.2,0.01,62.7,
MT02-388,3.37,,,,,Lignite,-23.8,0.01,60.3,
MT02-387,3.27,,,,,Lignite,-24.29,0.02,54.4,
MT02-386,3.17,,,,,Lignite,-24.24,0.04,18.2,
MT02-385,3.07,,,,,Lignite,-24.94,0.03,58.5,
MT02-384,2.93,5,26,30,39,Lignite,-24.07,0.01,0.6,
MT20-383,2.73,,,,,Mudstone,-23.74,0.02,0.5,
MT02-382,2.53,,,,,Lignite,-24.94,0.04,53.2,
MT02-381,2.46,,,,,Lignite,-25.01,0.03,26.9,
MT02-380,2.36,0,23,55,23,Carbonaceous shale,-24.69,0.03,2.4,
MT02-379,2.22,,,,,Lignite,-25.12,0.04,31.7,
MT02-378,2.1,,,,,Siltstone,-24.37,0.02,2.8,
MT02-377,2,,,,,Mudstone,-25.24,0.05,1.8,
MT02-376,1.9,,,,,Siltstone,-23.84,0.04,1,
MT02-375,1.8,,,,,Mudstone,-24.07,0.1,0.6,
MT02-374,1.6,,,,,Siltstone,-23.9,0.04,0.3,
MT02-372,1.4,,,,,Mudstone,-23.86,0.05,0.3,
MT02-371,1.2,,,,,Mudstone,-24.02,0.02,0.4,
MT02-370,1,,,,,Mudstone,-24.02,0.03,0.6,
MT02-369,0.8,,,,,Siltstone,-23.69,0.07,0.4,
MT02-368,0.6,,,,,Mudstone,-23.14,0.1,0.9,
MT02-366,0.4,,,,,Lignite,-23.66,0.01,49.4,
MT02-365,0.3,,,,,Lignite,-24.51,0.02,57.9,
MT02-364,0.2,,,,,Lignite,-24.52,0.04,55.6,
MT02-363,0.1,,,,,Lignite,-24.05,0.05,44.3,
MT02-362,0,,,,,Lignite,-23.75,0.04,41.7,
MT02-360,-0.09,,,,,Mudstone,-24.69,0.07,0.3,
MT02-359,-0.28,,,,,Carbonaceous shale,-25.75,< 0.01,2.2,
MT02-358,-0.39,2,27,6,66,Carbonaceous shale,-25.76,0.06,5.4,
MT02-357,-0.48,49,23,0,29,Sandstone,-24.97,0.02,2.4,
MT02-356,-0.67,,,,,Siltstone,-25.35,0.02,0.9,
MT02-355,-0.87,,,,,Siltstone,-26.47,0.02,1.3,K-Pg
MT02-353,-1.27,,,,,Mudstone,-24.26,0.01,4.7,
MT02-352,-1.47,,,,,Mudstone,-24.05,0.01,0.9,
MT02-351,-1.67,,,,,Mudstone,-23.57,0.03,0.4,
MT02-350,-1.87,,,,,Mudstone,-23.94,0.06,0.3,
MT02-349,-2.07,,,,,Mudstone,-23.97,0.01,0.2,
MT02-348,-2.27,1,78,9,11,Siltstone,-24.34,0.11,0.2,
MT02-347,-2.41,,,,,Mudstone,-24.41,0.23,0.3,
MT02-346,-2.61,,,,,Mudstone,-24.83,0.01,0.6,
MT02-345,-2.81,,,,,Mudstone,-24.65,0.04,0.6,
MT02-344,-3.2,,,,,Siltstone,-24.77,0.06,0.2,
MT02-343,-3.4,0,47,51,2,Siltstone,-24.04,0.04,0.3,
MT02-342,-3.6,5,25,26,43,Mudstone,-25.64,0.07,0.9,Neg1
MT02-340,-4.09,40,53,0,7,Sandstone,-23.84,0.11,0.3,
MT02-339,-4.32,15,76,8,0,Mudstone,-24.13,0.11,0.4,
MT02-338,-5.12,,,,,Mudstone,-24.87,0.35,0.2,
MT02-337,-5.32,,,,,Mudstone,-24.24,0.11,0.1,
MT02-336,-5.52,,,,,Mudstone,-23.86,0.1,0.1,
MT02-335,-5.72,,,,,Mudstone,-24.26,0.17,0.2,
MT02-334,-5.92,,,,,Mudstone,-24.28,0.13,0.2,
MT02-333,-6.12,3,43,51,3,Mudstone,-24.08,0.11,0.2,
MT02-332,-6.32,,,,,Mudstone,-24.37,0.14,0.2,
MT02-331,-6.52,,,,,Mudstone,-24.24,0.05,0.2,
MT02-330,-6.72,,,,,Mudstone,-23.96,< 0.01,0.3,
MT02-329,-6.92,,,,,Mudstone,-24.47,0.15,0.1,
MT02-328,-7.12,,,,,Mudstone,-23.96,0.11,0.1,
MT02-327,-7.32,,,,,Mudstone,-23.89,0.05,0.3,
MT02-326,-7.47,2,64,25,8,Siltstone,-24.79,0.05,0.2,
MT02-325,-7.69,,,,,Mudstone,-24.51,0.08,1.6,
MT02-324,-7.89,,,,,Mudstone,-24.78,0.06,1.6,
MT02-323,-8.09,7,38,51,4,Mudstone,-24.86,0.08,2,
MT02-322,-8.29,,,,,Mudstone,-24.98,0.08,2.4,
MT02-321,-8.49,,,,,Mudstone,-24.47,0.1,2.8,
MT02-320,-8.69,,,,,Mudstone,-24.38,0.1,0.4,
MT02-319,-8.89,,,,,Mudstone,-24.45,0.09,0.5,
MT02-318,-9.09,,,,,Mudstone,-24.14,0.07,0.4,
MT02-317,-9.29,,,,,Mudstone,-24.18,0.07,0.4,
