KEY,ID,Latitude,Longitude,Altitude (m),sampling date,strata description,stratigraphic section (m),TOC (%),u(TOC),1/TOC,d13CDOM (PDB),n,u(d13Cdom),d13Cn-alkanes,u(d13Cn-alkanes),u(d13Cmodel-plant),"d13Cmodel-plant (from Smith et al., 2007)",u(d13Cmodel-plant)hw16,d13CPOM,n,u(d13CPOM),d13CCMOM,n,u(d13CCMOM),d13CFMOM,n,u(d13CFMOM),fCMOC,u(fCMOC),fFMOC,u(fFMOC),fcoarse,u(fcoarse),ffine,u(ffine),d13CDOM-model ,u(d13CDOM-model),n(Ro) vitrinite,flitpinite,u(fliptinite),frecycled,u(frecycled),fvitrinite,u(vitrinite),d13Cliptinite,u(d13Cinertinite),d13Cvitrinite,u(d13Cvitrinite),d13Crecycled,u(d13Crecycled),d13CPOM-model ,u(d13CPOM-model)
20699,HW-10-012,44.04388,107.77964,1360,10-Aug,CS1=black oily laminated mudstone rich in organic matter (leaf fossiles),1,0.6,0.006,1.666666667,-26.03,2,0.234685088,-31.5,0.25,0.67,-26.6,0.715122367,-26.15,2,0.085,-25.61,1,0.3,-26.32,1,0.3,0.44,0.06259145,0.56,0.079661845,0.69,0.069,0.31,0.031,-26.0076,0.361578678,79,0.3,0.03,0.1,0.01,0.6,0.06,-27.85,0.72512068,-26.25,0.757561879,-24.1,0.3,-26.515,0.789224921
20700,HW-10-013,44.02637,107.72811,1437,10-Aug,thick grey soil alternating with purple beds,4,0.08,0.008,12.5,-22.55,1,0.5,,0.25,0.67,-26.6,0.715122367,-26.14,2,0.044,-25.85,1,0.5,-23.71,1,0.5,0.06,0.012009596,0.94,0.18815034,0.11,0.011,0.89,0.089,-23.8384,0.57527979,4,0.8,0.4,0.05,0.025,0.15,0.03,-27.85,0.72512068,-26.25,0.757561879,-24.1,0.3,-27.4225,1.08674743
20701,HW-10-014,44.02637,107.72809,1440,10-Aug,first purple bed within the grey with slick and slides,4.3,0.08,0.008,12.5,-23.21,1,0.5,,0.25,0.67,-26.6,0.715122367,-25.38,2,0.165,-24.95,1,0.5,-24.09,1,0.5,0.16,0.03202559,0.84,0.168134346,0.15,0.015,0.85,0.085,-24.2276,0.575291574,7,0.6,0.3,0.1,0.05,0.3,0.06,-27.85,0.72512068,-26.25,0.757561879,-24.1,0.3,-26.995,1.088953615
20702,HW-10-015,44.02636,107.72804,1446,10-Aug,second purple bed within the grey with slicks and slides,5.1,0.07,0.007,14.28571429,-23.28,1,0.5,,0.25,0.67,-26.6,0.715122367,,,,-27.03,1,0.5,-23.11,1,0.5,0.11,0.022013471,0.89,0.178108992,0.08,0.008,0.92,0.092,-23.5412,0.575246274,0,,,,,,,,,,,,,,
20703,HW-10-016,44.02636,107.72804,1446,10-Aug,harder and coarsly grained,6.1,0.06,0.006,16.66666667,-25.64,2,0.448661523,,0.25,0.67,-26.6,0.715122367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20704,HW-10-017,44.02636,107.72804,1446,10-Aug,third purple within the grey,6.3,0.07,0.007,14.28571429,-25.25,3,0.394809834,,0.25,0.67,-26.6,0.715122367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20705,HW-10-018,44.02636,107.72804,1446,10-Aug,fourth purple within the grey,6.8,0.06,0.006,16.66666667,-25.07,1,0.5,,0.25,0.67,-26.6,0.715122367,-26.74,1,0.3,-27.07,1,0.5,-23.48,1,0.5,0.3,0.060026994,0.7,0.140062986,0.41,0.041,0.59,0.059,-24.557,0.575210074,64,0.5,0.15,0.25,0.025,0.25,0.05,-27.85,0.72512068,-26.25,0.757561879,-24.1,0.3,-26.5125,0.837269357
20706,hw-10-045,44.02636,107.72804,1446,10-Aug,strange grey different location,7.6,0.19,0.0095,5.263157895,-24.31,1,0.3,,0.25,0.67,-26.6,0.715122367,-24.09,1,0.3,-23.8,1,0.3,-23.45,1,0.3,0.28,0.044351726,0.72,0.114047295,0.31,0.031,0.69,0.069,-23.548,0.374837368,32,0.2,0.06,0.5,0.1,0.3,0.06,-27.85,0.72512068,-26.25,0.757561879,-24.1,0.3,-25.495,0.88601353
20707,HW-10-019,44.02613,107.72811,1439,10-Aug,Dark grey rich in OM with little carbonates nodules and slicks and slides (GRG),8.1,0.17,0.0085,5.882352941,-27.57,2,0.252748683,-36.6,0.25,1.35,-31.7,1.372953022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20708,HW-10-020,44.02635,107.72808,1452,10-Aug,red with dark grey mottles slick and slides,8.4,0.18,0.009,5.555555556,-27.25,1,0.3,,0.25,1.35,-31.4,1.372953022,-27.64,2,0.377,-26.9,1,0.3,-25.87,1,0.3,0.59,0.093438194,0.41,0.064931626,0.54,0.054,0.46,0.046,-26.4777,0.374727706,3,0.3,0.09,0.55,0.275,0.15,0.03,-32.65,1.378187215,-31.05,1.395528574,-24.1,0.3,-27.7075,1.658567516
