KEY,ID,Latitude,Longitude,Altitude (m),Sampling date,strata,stratigraphic section (m),TOC (%),u(TOC),1/TOC,d13CDOM,n,u(d13CDOM),"d13Ccarb from Bowen et al., 2001",u(d13Ccarb),d13Ccarb PETM anomaly,d13Cmodel-plant,u(d13Cmodel-plant),d13CPOM,n(POM),u(d13CPOM),d13CCMOM,n(CMOM),u(d13CCMOM),d13CFMOM,n(FMOM),u(d13CFMOM),fCMOC,u(fCMOC),fFMOC,u(fFMOC),fcoarse,u(coarse),ffine,u(fine),d13CDOM-model ,u(d13CDOM-model),n(Ro) vitrinite,flitpinite,u(liptinite),fvitrinite,u(vitrinite),finertinite,U(inertinite),d13Cliptinite,u(d13Cinertinite),d13Cvitrinite,u(d13Cvitrinite),d13Cinertinite,u(d13Cinertinite),d13CPOM-model ,u(d13CPOM-model)
20740,PBO-5560,,,,11-Aug,CS3=organic rich black mudstone,-50,0.992394299,0.009923943,1.007663991,-23.00752006,2,0.009018246,-8.8,0.1,0,-23.00752006,1.048808848,-22.7673002,2,0.258,-22.90919045,1,0.3,-23.62695214,1,0.3,0.76219171,0.108591549,0.23780829,0.033881201,0.507246377,0.050724638,0.492753623,0.049275362,-23.07988013,0.36184206,74,0.05,0.005,0.9,0.09,0.05,0.005,-24.25752006,1.055651458,-22.65752006,1.078192933,-22.00752006,1.067707825,-22.895,1.113216648
20741,PBO-10-001,44.76378,108.87822,1461,10-Aug,red with gray mottles,1,0.08289149,0.008289149,12.06396459,-23.85810693,2,0.213529338,-9.133,0.1,-0.333315238,-23.29083801,1.048808848,-23.94253081,1,0.3,-24.36727445,1,0.5,-23.54639631,1,0.5,0.563476723,0.112792094,0.436523277,0.087379607,0.345333333,0.034533333,0.654666667,0.065466667,-24.00894203,0.575334141,32,0.25,0.075,0.7,0.07,0.05,0.01,-24.54083801,1.055651458,-22.94083801,1.078192933,-22.29083801,1.067707825,-23.295,1.143504247
20742,PBO-10-002,44.76384,108.87825,1450,10-Aug,red with gray mottles,1.6,0.154467321,0.007723366,6.473861225,-23.20641201,1,0.3,-9.133,0.1,-0.333315238,-23.29083801,1.048808848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20743,PBO-10-003,44.76384,108.87824,1453,10-Aug,red/orange,2.3,0.283934601,0.008518038,3.521937786,-23.91269659,1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20744,PBO-10-004,44.7639,108.87829,1471,10-Aug,thick orange,3.4,0.247693468,0.007430804,4.037248168,-24.20362854,2,0.332507175,-9.08,0.1,-0.28031398,-23.24578694,1.048808848,-23.60612221,3,0.477,-24.97047611,1,0.3,-22.90915396,1,0.3,0.417547065,0.061728112,0.582452935,0.086106988,0.631034483,0.063103448,0.368965517,0.036896552,-23.76985297,0.366095969,31,0.15,0.045,0.83,0.083,0.02,0.004,-24.49578694,1.055651458,-22.89578694,1.078192933,-22.24578694,1.067707825,-23.098,1.145746081
20745,PBO-10-005,44.76391,108.87829,1465,10-Aug,orange,4.8,0.14401109,0.007200555,6.943909667,-24.12153798,1,0.3,-9.397,0.1,-0.597160102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20746,PBO-10-006,44.76398,108.87834,1461,10-Aug,purplish red,6.7,0.057702728,0.005770273,17.33020318,-24.27110016,1,0.3,-10.926,0.1,-2.126390102,-24.81495165,1.048808848,-23.49533806,1,0.3,-24.88519587,1,0.5,-23.79071177,1,0.5,0.319472967,0.063921181,0.680527033,0.136162042,0.616314199,0.06163142,0.383685801,0.03836858,-24.14036985,0.575249502,47,0.05,0.015,0.85,0.085,0.1,0.02,-26.06495165,1.055651458,-24.46495165,1.078192933,-23.81495165,1.067707825,-22.89,1.145565554
20747,PBO-10-007,44.76399,108.87834,1461,10-Aug,gray dark purple,8.7,0.430258596,0.008605172,2.324183664,-24.27110016,1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20748,PBO-10-008,44.76372,108.87894,1459,10-Aug,light purple,10.5,0.217739072,0.006532172,4.59265299,-25.37058597,1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20749,PBO-10-009,44.76373,108.87897,1466,10-Aug,light purple,10.9,0.137032777,0.006851639,7.297524154,-24.29881031,1,0.3,-9.822,0.1,-1.021727602,-23.87598852,1.048808848,-23.43191337,2,0.421,-25.45407743,1,0.3,-23.0101,1,0.3,0.623652847,0.098700713,0.376347153,0.059561553,0.518282989,0.051828299,0.481717011,0.048171701,-24.53429348,0.374703591,38,0.05,0.015,0.85,0.085,0.1,0.02,-25.12598852,1.055651458,-23.52598852,1.078192933,-22.87598852,1.067707825,-22.89,1.145884714
20750,PBO-10-010,44.76374,108.879,1470,10-Aug,red mudstones,14.8,0.057287382,0.005728738,17.45585092,-25.03371489,1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20751,PBO-10-011,44.76374,108.879,1474,10-Aug,red mudstones,15.3,0.064695368,0.006469537,15.45705714,-24.5237092,1,0.5,-9.822,0.1,-1.021727602,-23.87598852,1.048808848,-23.91525263,3,0.387,-24.65743525,1,0.5,-23.72115119,1,0.5,0.576130345,0.115286338,0.423869655,0.084818272,0.334751773,0.033475177,0.665248227,0.066524823,-24.26057285,0.575273147,26,0.25,0.075,0.74,0.074,0.01,0.002,-25.12598852,1.055651458,-23.52598852,1.078192933,-22.87598852,1.067707825,-23.299,1.143929342
20752,PBO-10-012,44.76381,108.87898,1474,10-Aug,light purple -7,19.6,0.153491592,0.00767458,6.515014842,-24.87539447,2,0.244243862,-9.894,0.1,-1.093995102,-23.9374159,1.048808848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20753,PBO-10-013,44.76388,108.879,1476,10-Aug,light purple -6,20.5,0.164078846,0.008203942,6.09463087,-25.3219541,1,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20754,PBO-10-014,44.76388,108.879,1477,10-Aug,gray,21.5,0.102808919,0.010280892,9.726782557,-24.96811687,1,0.3,-10.213,0.1,-1.412995051,-24.20856585,1.264911064,-25.15120992,3,0.288,-24.75935553,1,0.3,-24.51029863,1,0.3,0.567684001,0.113686707,0.432315999,0.08657736,0.434027778,0.043402778,0.565972222,0.056597222,-24.65168425,0.412926165,29,0.1,0.05,0.89,0.089,0.01,0.002,-25.45856585,1.270590414,-23.85856585,1.289379696,-23.20856585,1.280624847,-25.999,1.348562137
20755,PBO-10-015,44.76388,108.87954,1482,10-Aug,red or purple 0,25.7,0.043525094,0.004352509,22.97525193,-25.42107116,1,0.5,-13.512,0.1,-4.7117845,-27.01253689,1.264911064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20756,PBO-10-016,44.76391,108.8796,1483,10-Aug,brown orange -4,27.4,0.249064534,0.007471936,4.015023673,-27.89774894,1,0.3,-13.859,0.1,-5.059444,-27.30804746,1.264911064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20757,PBO-10-017,44.76391,108.87961,1486,10-Aug,gray,27.7,0.146804037,0.007340202,6.811801776,-27.48191395,2,0.229841659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20758,PBO-10-018,44.76389,108.87961,1488,10-Aug,red/orange -3,27.9,0.191904421,0.009595221,5.210927371,-27.10179801,,0.3,-14.387,0.1,-5.586647143,-27.75617013,1.264911064,-27.28667995,2,0.312,-27.23560233,1,0.3,-27.21154795,1,0.3,0.337382597,0.05344301,0.662617403,0.104961751,0.543089431,0.054308943,0.456910569,0.045691057,-27.21966348,0.374735922,4,0.03,0.021,0.96,0.192,0.01,0.002,-29.00617013,1.270590414,-27.40617013,1.289379696,-26.75617013,1.280624847,-26.948,1.396224367
20759,PBO-10-019,44.76393,108.87966,1487,10-Aug,red/brown -2,29,0.196897258,0.009844863,5.078790889,-26.89775922,,0.3,-14.227,0.1,-5.426941375,-27.62042023,1.264911064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20760,PBO-10-020,44.76396,108.87966,1490,10-Aug,gray/brown -1,29.5,0.099443809,0.00497219,10.05593018,-26.58854755,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20761,PBO-10-021,44.76396,108.87966,1490,10-Aug,dark purple,30,0.130560302,0.006528015,7.659296009,-27.79758903,,0.3,-14.369,0.1,-5.569094,-27.74124996,1.264911064,-26.99804384,3,0.791,-26.88096135,1,0.3,-27.85553963,1,0.3,0.427369199,0.067630571,0.572630801,0.090618015,0.220360825,0.022036083,0.779639175,0.077963918,-27.43903489,0.374600817,26,0.01,0.003,0.98,0.098,0.01,0.002,-28.99124996,1.270590414,-27.39124996,1.289379696,-26.74124996,1.280624847,-26.916,1.348950713
20762,PBO-10-022,44.76403,108.87959,1490,10-Aug,gray,31.4,0.055594657,0.005559466,17.98734004,-25.44933506,,0.5,-13.954,0.1,-5.15448875,-27.3888355,1.264911064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20763,PBO-10-023,44.76412,108.87982,1487,10-Aug,lower double red,32.9,0.084876854,0.008487685,11.78177504,-25.2651648,,0.5,-14.819,0.1,-6.019339453,-28.1239586,1.264911064,-25.59723895,3,0.695,-25.48319751,1,0.3,-24.6747649,1,0.3,0.551901069,0.110479568,0.448098931,0.089700453,0.333333333,0.033333333,0.666666667,0.066666667,-25.12093972,0.412832283,4,0.05,0.04,0.92,0.368,0.03,0.006,-29.3739586,1.270590414,-27.7739586,1.289379696,-27.1239586,1.280624847,-26.98,1.562525861
20764,PBO-10-024,44.76412,108.87982,1487,10-Aug,gray,33,0.040155322,0.004015532,24.90329924,-24.8904353,,0.5,-14.819,0.1,-6.019339453,-28.1239586,1.264911064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20765,PBO-10-025,44.76418,108.87977,1491,10-Aug,lower double red,34.5,0.056260872,0.005626087,17.77434235,-25.10136454,,0.5,-15.037,0.1,-6.237354484,-28.30927137,1.264911064,-25.34413713,2,0.531,-25.11607651,1,0.5,-24.10152371,1,0.5,0.378822135,0.075794398,0.621177865,0.124284718,0.510344828,0.051034483,0.489655172,0.048965517,-24.48585877,0.575230385,21,0.05,0.02,0.92,0.092,0.03,0.006,-29.55927137,1.270590414,-27.95927137,1.289379696,-27.30927137,1.280624847,-26.98,1.347715826
20766,PBO-10-026,44.76419,108.87976,1490,10-Aug,gray,35.35,0.036098037,0.003609804,27.70233739,,2,0.322101844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20767,PBO-10-027,44.76419,108.87976,1490,10-Aug,red,36.15,0.054750042,0.005475004,18.26482617,-26.1288619,,0.5,-13.177,0.1,-4.377494,-26.72838996,1.048808848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20768,PBO-10-028.b,44.76419,108.87976,1490,10-Aug,red,36.95,0.094184645,0.009418465,10.61744194,-26.95431758,2,0.420321399,-13.381,0.1,-4.581097143,-26.90145263,1.048808848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20769,PBO-10-028,44.646,108.88169,1497,10-Aug,gray,38.85,0.065083886,0.006508389,15.3647863,-25.39464819,,0.5,-14.041,0.1,-5.241019,-27.46238621,1.048808848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
