,Table 1: Coal Samples,,,,,,,,,,,,,,,,
KEY,Sample,Unit,Depth (m),Corg (wt.%),Stot (wt.%),Ash (wt.%),Huminite (vol.%),Liptinite (vol.%),Inertinite (vol.%),GI,TPI,d13CTOC (‰ PDB),SOM (mg/g Corg),"Sat. HC (%, SOM)","Arom. HC (%, SOM)","NSO (%, SOM)","Asphalt. (%, SOM)"
20817,Vel 96,IIIb,456.9,47.4,2.75,12,95,4,1,1.38,1.97,-26.8,13.18,7,9,34,50
20818,Vel 93,IIIb,460.1,51.4,2.28,10,92,5,3,2.32,1.11,-26.4,20.74,4,5,28,62
20819,Vel 91,IIIb,463.3,42.6,2.31,13,92,6,2,2.79,0.84,-26.9,29.96,4,3,33,60
20820,Vel 89,IIIb,466.5,49.5,2.52,12,90,7,3,2.1,1.07,-26.6,19.75,6,4,32,58
20821,Vel 87,IIIb,470.3,47.3,2.25,14,92,7,1,1.68,1.68,-26.1,23,5,3,29,63
20822,Vel 85,IIIb,473.4,44.6,2.32,16,90,7,3,2.5,1.05,-26.7,30.34,4,4,29,64
20823,Vel 82,IIIb,477,47.6,2.73,13,95,5,0,1.84,1.22,-25.8,26.22,6,2,30,62
20824,Vel 78,IIIb,483.2,47,2.6,15,91,7,2,1.07,1.54,-25.3,15.19,5,6,31,58
20825,Vel 76,IIIa,486.7,47.4,2.59,13,95,4,1,1.33,1.33,-25.8,16.2,8,4,34,54
20826,Vel 74,IIIa,490.2,42.8,3.32,23,94,4,2,0.72,1.1,-26.1,16.05,6,4,37,54
20827,Vel 72,IIIa,492.9,51.5,2.35,9,90,9,1,3.5,1.02,-26.5,38.71,5,3,37,56
20828,Vel 70,IIIa,495.2,41.2,2.42,16,95,5,0,0.98,2.32,-25.4,12.76,9,4,36,51
20829,Vel 68,IIIa,497.8,52.6,1.75,9,90,6,4,2.21,1.19,-25.7,27.17,6,2,28,64
20830,Vel 66,IIc,501,53.7,2.67,12,84,8,8,0.86,0.8,-26.6,18.18,6,2,32,59
20831,Vel 64,IIc,504.1,41.6,2.59,21,97,3,0,0.73,0.67,-26.4,19.76,5,3,34,58
20832,Vel 62,IIc,507.5,47.5,1.93,16,94,5,1,0.65,1.33,-25.7,16.6,8,4,31,57
20833,Vel 60,IIc,510.8,46.9,1.74,19,94,5,1,1.94,1.22,-26,16.18,11,5,30,55
20834,Vel 58,IIb,514.6,47.1,2.27,21,86,13,1,1.05,0.95,-26.3,21.7,4,3,39,54
20835,Vel 55,IIb,518.6,41.3,2.72,25,85,13,2,0.61,0.85,-26.4,18.82,4,3,41,52
20836,Vel 53,IIb,522,40.3,2.13,18,86,10,4,0.65,1.11,-26.3,20.26,6,2,37,55
20837,Vel 51,IIb,525.4,36.8,2.73,20,90,8,2,0.84,4.33,-25.3,23.89,5,2,35,57
20838,Vel 49,IIa,528.7,33.4,3.03,35,88,7,5,0.49,1.11,-26.1,17.91,6,3,38,53
20839,Vel 47,IIa,532,39.6,2.18,24,88,8,4,0.78,1.59,-25.9,16.83,5,3,40,51
20840,Vel 45,IIa,535.4,48.4,1.82,14,94,4,2,1.32,1.72,-26.3,27.27,4,2,36,58
20841,Vel 43,IIa,537.8,38.1,1.87,25,91,6,3,0.95,1.55,-26,14.97,7,2,43,47
20842,Vel 41,IIa,540.5,34.8,1.48,37,93,4,3,0.43,2,-26.4,17.85,6,3,46,46
20843,Vel 39,I,542.1,44.1,2.46,19,94,3,3,0.73,1.66,-25.6,16.33,8,3,36,54
20844,Vel 36,I,544.5,37.7,2.1,27,92,8,0,1.89,2,-26.2,22.3,5,3,37,55
20845,Vel 33,I,547.7,28.2,2.08,44,89,11,0,0.81,0.76,-26.7,26.32,4,2,37,56
20846,Vel 29,I,553.2,31.3,4.17,39,81,10,9,1.04,0.46,-27,22.78,5,3,54,39
20847,Vel 26,I,557,31.5,3.92,40,94,6,0,1.04,0.89,-26.5,19.05,4,4,54,38
,,,,,,,,,,,,,,,,,
,Table 2: Fossil Wood Samples,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
KEY,Fossil Wood,Unit,Depth (m),Maceral Variety,Fluorescence,Corg (wt.%),Stot (wt.%),Cellulose Yield (%),d13Cwood (‰ PDB),d13Ccellulose (‰ PDB),Cell-wood ?d13C,SOM (mg/g Corg),"Sat. HC (%, SOM)","Arom. HC (%, SOM)","NSO (%, SOM)","Asphalt. (%, SOM)",Chemotaxonomy
