,"Table 1: Coal Samples, Neza Profile",,,,,,,,,,,,,,,
KEY,Sample,Sample interval (m),Corg (wt.%),Stot (wt.%),Ash (wt.%),Huminite (%),Liptinite (%),Inertinite (%),GI,TPI,d13C TOC (‰ PDB),SOM (mg/g Corg),Saturated HC (%),Aromatic HC (%),NSO (%),Asphaltenes (%)
20856,T-43,1.00–1.15,8.2,0.75,76.8,n.d.,n.d.,n.d.,n.d.,n.d.,-27.9,26.1,5,2,50,42
20857,T-46,1.50–1.65,11.8,1.03,76.9,n.d.,n.d.,n.d.,n.d.,n.d.,-28.1,30.3,5,3,57,34
20858,T-48,1.67–2.02,30.4,2.53,51.9,43,51,6,n.d.,0,-27.7,44.5,2,2,39,57
20859,T-50,2.32–2.62,39.5,3.1,31.8,63,29,8,n.d.,0,-27.4,37.2,5,3,41,52
20860,T-55,3.22–3.67,60.9,1.6,7.6,99,0,1,15.7,1.4,-26.5,14.6,12,4,24,59
20861,T-58,4.27–4.77,61.3,1.72,8.7,87,11,2,13.3,0.5,-26.2,30.9,20,4,41,34
20862,T-60,5.27–5.67,57.2,1.72,14.3,79,20,1,0.6,15,-26.4,24.2,14,2,37,47
20863,T-66,6.45–6.85,57.7,2.59,12.8,91,6,3,13.3,0.1,-26.8,30.5,19,7,42,32
20864,T-68,6.88–7.23,61.4,1.71,9.4,93,5,2,49,0.6,-26.6,15.6,13,4,53,30
20865,T-69,7.23–7.63,56.8,1.93,14,92,7,1,1.2,2.3,-26,29.7,19,6,45,29
20866,T-70,7.63–7.93,47.1,2.29,27.3,95,5,0,0.7,4.1,-25.7,12.5,12,4,46,38
20867,T-72,7.94–8.30,56.8,2.39,14.6,85,10,5,4.3,0.5,-26.4,32.9,6,2,33,59
20868,T-74,8.31–8.67,51.7,2.23,20.9,72,28,0,2.4,0.3,-25.4,31.1,8,3,38,51
20869,T-76,8.69–8.81,57.8,2.42,12.5,95,3,2,n.d.,n.d.,-25.1,13.5,7,6,41,46
20870,T-78,8.98–9.46,37.8,1.79,39.2,92,6,2,1,0.5,-24.6,22.5,15,4,30,51
20871,T-82,9.62–9.74,33.9,2.78,43.9,90,7,3,n.d.,n.d.,-25.3,30.6,9,5,37,50
20872,T-89,10.50–10.84,51.9,1.49,20.8,89,9,2,1.3,1.7,-25.2,38.4,14,2,24,60
20873,T-92,11.05–11.45,40.6,3.35,36.3,85,14,1,8.9,0.3,-25.9,33.9,11,5,29,56
20874,T-95,11.59–11.89,52,3.5,20.9,95,3,2,1.7,1,-24.5,26.6,12,3,32,53
20875,T-96,11.89–12.22,27.6,2.04,62.9,95,0,5,n.d.,n.d.,-26,24.1,15,3,44,38
20876,T-98,12.25–12.62,43.2,1.91,33.1,96,1,3,10.4,0.8,-25.8,17.3,7,3,48,42
20877,T-100,12.65–12.75,53.3,1.36,17.9,89,9,2,1.5,1.1,-25.4,15.2,13,5,36,46
20878,T-102,12.91–13.21,57.7,2.5,13.1,96,3,1,1.5,2.5,-25.1,15.5,10,5,30,55
20879,T-104,13.61–14.01,40.3,3.25,35.9,87,9,4,0.8,2.2,-24,26.9,20,3,38,39
20880,T-106,14.29–14.72,50.2,3.37,24.5,92,0,8,0.8,0.1,-25.9,11.1,7,4,45,44
20881,T-108,14.85–15.23,59.2,2.03,12.1,92,5,3,1.2,0.9,-25,15.5,25,4,33,38
20882,T-110,15.26–15.66,26.1,1.7,55.3,99,0,1,n.d.,n.d.,-25.9,21.4,23,3,35,38
20883,T-113,16.09–16.37,31,2.87,48.7,84,7,9,n.d.,n.d.,-25,27.8,26,6,33,34
20884,T-114,16.37–16.72,27.8,2.64,52.7,100,0,0,n.d.,n.d.,-25.6,10.1,7,4,53,36
,,,,,,,,,,,,,,,,
,Table 2: Fossil Wood,,,,,,,,,,,,,,,
KEY,Fossil Wood,Profile,Corg (wt.%),Stot (wt.%),d13C wood (‰ PDB),SOM (mg/g Corg),Saturated HC (%),Aromatic HC (%),NSO (%),Asphaltenes (%),Chemotaxonomy,,,,,
20885,THz 69,Neza,62,1.05,-23.1,20.3,20,3,13,64,Gymnosperm,,potential duplicate 20865,,,
20886,THz 84,Neza,58.1,1.61,-24.5,17.8,8,3,18,72,Gymnosperm,,,,,
20887,THz 108,Neza,52.9,1.06,-24.9,11.6,24,5,43,28,Gymnosperm,,potential duplicate 20881,,,
20888,THz 114,Neza,60.4,1.51,-24.1,24.5,5,3,17,76,Gymnosperm,,potential duplicate 20884 ,,,
20889,OHz 55,Lopata,60.6,1.81,-24.8,20.1,15,12,19,54,Gymnosperm,,,,,
20890,OHz 83,Lopata,56,4.63,-24.5,26.1,3,16,27,54,Gymnosperm,,,,,
20891,BHz 46,Bukova Gora,56.3,2.31,-23.6,10.6,17,7,46,30,Gymnosperm,,,,,
20892,BHz 47,Bukova Gora,60.8,2.42,-23.4,4.9,4,4,53,39,Gymnosperm,,,,,
20893,BHz 51,Bukova Gora,61,2.84,-23,20.1,10,3,15,72,Gymnosperm,,,,,
