KEY,,Lineage - Fossils,Specimen number,Geologic epoch,Age (Myr),Age Uncertainty (Myr),Location,Material analyzed,Preservation,d13C plant (‰ PDB),d13C plant uncertainty,d13C atmosphere (‰ PDB),cap13C (‰),
20969,Trimerophyte clade,Psilophyton forbesii,10118,Early Devonian,388,2,"New Brunswick, Can",Axes,Compression,-25.4,,-6,19.9,
20970,,P. forbesii,20014,Early Devonian,388,2,"Gaspe, Quebec, Can",Axes,Compression,-26.3,,-6,20.8,
20971,Lycopsid clade,Leclercqia complexa,452 (n=3),Middle Devonian,378,2,"Schoharie Co., NY",Leaves and axes,Compression,-21.3,0.09,-6,15.6,
20972,,Lepidodendropsis vander,5968,Early Mississippian,342,11,"Palauski, WV",Sporophylls,Compression,-23.5,,-3.3,20.7,
20973,,Lepidostrobus variabilis,23492,Early Pennsylvanian,319,4,"Pottsville, PA",Sporophylls,Compression,-24.3,,-2.5,22.3,
20974,,Stigmaria ficoides,23220,Early Pennsylvanian,315,8,"Ottsville, PA",Root,Compression,-23.1,,-2.3,21.3,
20975,Filicopsid/sphenopsid clade,Rhacophyton ceratangianum,470,Late Devonian,365,3,"Valley Head, WV",Axes,Compression,-24,,-5.3,19.2,
20976,,Sphenophyllum emarginatum,7592b,Early Pennsylvanian,311,1,"St. Clair, PA",Leaves and axes,Compression,-24.1,,-2.2,22.4,
20977,,Rhacopteris elegans,35401,Middle Pennsylvanian,308,1,"Stradonitz, Czech",Leaf rachis,Permineralized,-22.3,,-2.1,20.7,
20978,,Pecopteris plumosa-dentat,35806,Middle Pennsylvanian,304,14,Europe,Leaves and rachises,Compression,-24.2,,-2.1,22.6,
20979,,Calamites pachydermis,40030,Late Pennsylvanian,301,11,"Waldenburg, Silesia",Axis,Compression,-23.8,,-2,22.3,
20980,,Psaronius infarctus,35832,Early Permian,277,13,"Chemnitz, Germany",Axis,Perminalized,-24.9,,-2.4,23.1,
20981,,Cladophlebis sp. (n=2),45148,Middle Jurassic,170,1,"Cayton Bay, England",Leaves,Compression,-23.7,0.9,-5.6,18.5,
20982,,Cladophlebis denticulata,45149,Middle Jurassic,170,1,"Cayton Bay, England",Leaves,Compression,-21.3,,-5.6,16,
20983,,Fern spp.,45150,Middle Jurassic,169,1,"Cayton Bay, England",Leaves,Compression,-24.5,,-5.6,19.4,
20984,Spermatophyte clade,Eospermatoperis erianus,7008e,Mid-Devonian,377,1,"Gilboa, NY",Axes,Compression,-24.4,,-5.8,19.1,
20985,,Archaeopteris jacksonii,36888/50503 (n=2),Late Devonian,372,2,"Escuminac, Quebec, Can.",Leaves and axes,Compression,-28.1,0.5,-5.1,23.7,
20986,,A. macilenta,36886,Late Devonian,366,1,"Hancock, NY",Leaves and axes,Compression,-25.4,,-5.1,20.8,
20987,,Triphyllepteris uberis,943,Early Mississippian,347,7,"Pulaski Co., WV",Axes,Compression,-23.5,,-3.3,20.7,
20988,,Cordaites borassifolius,35370,Middle Pennsylvanian,309,2,"Cannelton, PA",Leaf,Compression,-23.8,,-2.2,22.1,
20989,,Trigonocarpus sp.,7598b (n=3),Middle Pennsylvanian,305,0.5,"St. Clair, PA",Seed,Compression,-23.6,0.3,-2.1,22,
20990,,Walchia pinniformis,24977 (n=2),Late Pennsylvanian,304,14,"Berschweiler, Ger.",Axes,Compression,-24.8,0.05,-2.1,23.3,
20991,,Alethopteris sp.,30069,Late Pennsylvanian,295,1,"Lawrence, KS",Leaves,Compression,-25,,-2,23.6,
20992,,Medullosa stellata,6014,Early Permian,277,13,"Hilbersdorf, Ger.",Axis,Perminalized,-27,,-2.3,25.4,
20993,,Glossopteris ampla,26178,Late Permian,255,2,"Newcastle, NSW, Aust.",Leaves and axes,Compression,-24.7,,-3.5,21.7,
