,"Location 1: Chuckanut Fm, Washington USA",,,,,,,
KEY,Sample ID,Strat Ht (m),Lithology,N%,?15N (AIR),"C% (TOC, wt %)",C/N,?13C (VPDB)
23077,CF-001,52,sand,0.33,2,15.58,55.45,-25.7
23078,CF-002,56,sand,,,0.04,,-23.7
23079,CF-003,57.5,sand,,,0.04,,-23.5
23080,CF-004,59.5,sand,,,0.01,,-25.6
23081,CF-005,61.5,sand,,,0.01,,-25.5
23082,CF-006,63.25,sand,,,0.02,,-25.4
23083,CF-007,64.5,sand,,,0.02,,-24.8
23084,CF-008,65.25,clay,,,0.22,,-24
23085,CF-009,65.75,clay,,,0.83,,-24.5
23086,CF-010,66.75,coal,0.75,1.4,39.84,62.2,-25.1
23086,CF-010 z,66.75,coal,0.78,2,41.65,62.56,-25.1
23088,CF-011,67.5,clay,,,0.6,,-24.8
23089,CF-012,69,sand,,,0.03,,-24.5
23090,CF-013,71,clay,,,0.28,,-23.8
23091,CF-014,71.5,clay,,,0.22,,-24.2
23092,CF-015,72.25,silt,,,0.18,,-24.4
23093,CF-016,73.5,silt,,,0.28,,-24.2
23094,CF-017,76,sand,,,0.02,,-24.2
23095,CF-018 A,78.25,coaly sand,,,1.55,,-24.3
23096,CF-018 B,78.25,coaly sand,,,0.24,,-26.5
23097,CF-019,80.5,sand,,,0.01,,-24.5
23098,CF-020,83.5,sand,,,0.02,,-24.5
23099,CF-022,85.25,coal,0.94,1.7,45.2,56.2,-25.8
23100,CF-023,86.25,sand,,,0.01,,-25.1
23101,CF-024,92.25,sand,,,0.03,,-24.2
23102,CF-025,94.5,sand,,,0.03,,-25.9
23103,CF-026,96.5,sand,,,0.1,,-24.9
23104,CF-027,100.25,sand,,,0.02,,-24.4
23105,CF-028,103.75,clay ripup,,,0.42,,-24.8
23106,CF-029,105.25,coal,1.01,2.1,61.67,71.04,-23.7
23107,CF-030,106.5,coaly sand,0.17,2.4,7.85,54.97,-23.9
23108,CF-031,108.5,sand,,,0.04,,-23.7
23109,CF-032,111.75,coal,1,1.8,54.76,63.95,-24.2
23109,CF-032z,111.75,coal,1.16,2.4,63.25,63.5,-24.1
23111,CF-033,122.25,clay,,,0.42,,-24.1
23112,CF-034,123.5,coal,1.2,2.5,50.77,49.36,-22.8
23113,CF-035,124.75,sand,,,0.1,,-24.5
23114,CF-036,141,coal,0.9,1.6,47.39,61.75,-24
23115,CF-037,153,sand,,,0.08,,-24.8
23116,CF-038,169.5,silt,,,0.34,,-24.1
23117,CF-039,170.75,clay,,,0.33,,-24.1
23118,CF-040,172.5,sand,,,0.14,,-24.1
23119,CF-041,178.5,sand,,,0.06,,-23.7
23120,CF-042,214.25,silt,,,0.88,,-22.7
23121,CF-043 A,214.75,clay,,,4.22,,-25
23122,CF-043 B,214.75,clay,,,2.16,,-24.6
23123,CF-045,217.25,clay,,,0.29,,-24.1
23124,CF-046,219.25,coal,1,1.7,55.66,64.62,-23.4
23125,CF-048,223.75,silt,,,0.26,,-24
23126,CF-049,226,silt,,,0.14,,-23.7
23127,CF-050,228.5,coal,,,0.55,,-24.6
23127,CF-050z,228.5,coal,,,0.48,,-24.7
23129,CF-051 A,229.5,sand,,,0.2,,-24.2
23130,CF-052,230.25,coal,0.25,1.6,10.27,48.04,-24.7
23130,CF-052z,230.25,coal,0.34,1,12.42,42.29,-24.4
23132,CF-053,231.5,coal,0.38,3,16.68,51.34,-26.4
23133,CF-054,232,clay,,,0.75,,-25.3
23134,CF-055,233.5,clay,,,1.45,,-23.7
23135,CF-056,234.75,coal,0.5,2.1,16.59,38.68,-25.7
23136,CF-057,235.75,sand,,,0.1,,-24.3
23137,CF-058,236.5,sand,,,0.04,,-24.2
23138,CF-059,237.5,sand,,,0.05,,-24
23139,CF-060,243,sand,,,0.1,,-23.4
23140,CF-061,252,silt,,,0.17,,-24.1
23141,CF-062,257.5,silt,,,0.25,,-25
23142,CF-063,258.5,coal,,,0.5,,-25.8
23143,CF-064,260,silt,,,0.29,,-25
23144,CF-065,268.5,silt,,,0.13,,-24.9
23145,CF-066,312,sand,,,0.08,,-23.6
23146,CF-067,319.5,sand,,,0.08,,-24.4
23147,CF-068,321,coaly silt,,,0.76,,-24.9
23148,CF-069,326,sand,,,0.05,,-24.1
23149,CF-070,329,sand,,,0.17,,-24.6
23150,CF-071,334.25,silt,,,0.36,,-25
23151,CF-072,342.5,sand,,,0.31,,-24.5
23152,CF-073,347,silt,,,0.33,,-25
23153,CF-074,348,silt,,,0.44,,-24.7
