KEY,Sample,Separation from KZZ-001 (m),d13Corg (VPDP)
23869,KZZ064,154.9,-23.09
23870,KZZ063*,152.2,-22.89
23871,KZZ062,149.5,-24.02
23872,KZZ061,146.9,-23.83
23873,KZZ060*,146.1,-25.26
23874,KZZ059,143.7,-24.94
23875,KZZ058,140.9,-24.25
23876,KZZ057,140.8,-24.9
23877,KZZ056*,138.9,-24.76
23878,KZZ055,136.6,-24.66
23879,KZZ054,134.9,-24.69
23880,KZZ052,131.5,-24.81
23881,KZZ051*,129.6,-24.55
23882,KZZ049,123.4,-24.82
23883,KZZ048,120.9,-25.52
23884,KZZ047,119,-24.93
23885,KZZ045,113.3,-24.97
23886,KZZ044*,111.6,-24.2
23887,KZZ043,108.9,-24.86
23888,KZZ042,106.2,-24.55
23889,KZZ039,98.5,-24.43
23890,KZZ038,95.7,-24.44
23891,KZZ033,83.2,-24.71
23892,KZZ031,77.9,-24.35
23893,KZZ025,63.9,-24.79
23894,KZZ019,50.3,-24.54
23895,KZZ016,43.6,-24.96
23896,KZZ004,3,-25.48
23897,KZZ003,2.7,-24.25
23898,KZZ001,0,-25.68
23899,KZZ096,230,-22.92
23900,KZZ095,228.2,-23.21
23901,KZZ094,226.5,-22.76
23902,KZZ093*,223.7,-22.48
23903,KZZ092,221.7,-22.71
23904,KZZ091,220.2,-23.25
23905,KZZ090*,217.6,-24.77
23906,KZZ089*,214.6,-22.78
23907,KZZ088,212,-23.37
23908,KZZ087,209.9,-22.76
23909,KZZ086,207.3,-22.59
23910,KZZ085,205.1,-22.49
23911,KZZ084,202.8,-23.05
23912,KZZ083,200.4,-23.29
23913,KZZ082*,198,-22.56
23914,KZZ081,195.7,-23.25
23915,KZZ080,193.2,-24.51
23916,KZZ079,190.8,-23.68
23917,KZZ078,188.8,-23.77
23918,KZZ077,187.1,-23.88
23919,KZZ076,184.9,-24.09
23920,KZZ073,177.3,-24.49
23921,KZZ072*,174.6,-24.09
23922,KZZ071,172.3,-24.37
23923,KZZ070,169.6,-24.01
23924,KZZ069,166.2,-23.2
23925,KZZ068,164.7,-23.28
23926,KZZ067,164.2,-23.46
23927,KZZ066,162.9,-23.21
23928,KZZ065*,157.6,-23.62
23929,KZZ-142,372.6,-24.38
23930,KZZ-140,348.6,-23.29
23931,KZZ-139,340.3,-22.61
23932,KZZ-138,336.7,-22.83
23933,KZZ-135,326.7,-22.86
23934,KZZ-132,317,-23.24
23935,KZZ-131,313.5,-22.8
23936,KZZ-125,293.1,-23.02
23937,KZZ-121,283.2,-22.47
23938,KZZ-120,280.7,-22.63
23939,KZZ119*,279.8,-22.9
23940,KZZ117*,276.3,-23.55
23941,KZZ116,274,-23.34
23942,KZZ115,271.2,-23.18
23943,KZZ114,269.9,-22.78
23944,KZZ113,268.1,-22.64
23945,KZZ112,265.6,-23.04
23946,KZZ111*,263.4,-23.1
23947,KZZ110,261.8,-22.77
23948,KZZ109*,259.6,-22.47
23949,KZZ108,257.4,-22.61
23950,KZZ107,255.5,-22.94
23951,KZZ105,251.1,-23.24
23952,KZZ103,246,-23.3
23953,KZZ101*,240.8,-22.81
23954,KZZ100,238.4,-23
23955,KZZ099,235.8,-23.62
23956,KZZ098,233.1,-22.69
23957,KZZ097,232.2,-22.24
