Eon,Formation,Age (Ma),Lithology,TOC (mg/g),?C org ( ‰) PDB,?C carb ( ‰) PDB',Reference Code
Early Cambrian,Petstrostvet Formation ,540,DOL,,,-1.9,MAGA86.258
,Petstrostvet Formation ,540,DOL,,,-1.4,MAGA86.258
,Petstrostvet Formation ,540,DOL,,,-1.7,MAGA86.258
,Petstrostvet Formation ,540,DOL,,,-1.2,MAGA86.258
,Petstrostvet Formation ,540,DOL,,,-1.4,MAGA86.258
,Petstrostvet Formation ,540,DOL,,,-1.1,MAGA86.258
,Petstrostvet Formation ,540,DOL,,,-1.1,MAGA86.258
,Petstrostvet Formation ,540,DOL,,,-1,MAGA86.258
,Petstrostvet Formation ,540,DOL,,,0.1,MAGA86.258
,Petstrostvet Formation ,540,DOL,,,0.2,MAGA86.258
,Petstrostvet Formation ,540,DOL,,,0.2,MAGA86.258
,Petstrostvet Formation ,540,DOL,,,0.1,MAGA86.258
,Petstrostvet Formation ,540,DOL,,,-0.6,MAGA86.258
,Petstrostvet Formation ,540,DOL,,,-0.2,MAGA86.258
,Petstrostvet Formation ,540,DOL,,,-0.2,MAGA86.258
,Petstrostvet Formation ,540,DOL,,,0.6,MAGA86.258
,Petstrostvet Formation ,540,DOL,,,0.8,MAGA86.258
,Petstrostvet Formation ,540,DOL,,,1.4,MAGA86.258
,Petstrostvet Formation ,540,DOL,,,1.3,MAGA86.258
,Petstrostvet Formation ,540,DOL,,,0.9,MAGA86.258
,Petstrostvet Formation ,540,DOL,,,0.7,MAGA86.258
,Petstrostvet Formation ,540,DOL,,,0.5,MAGA86.258
,Petstrostvet Formation ,540,DOL,,,0.1,MAGA86.258
,Petstrostvet Formation ,540,DOL,,,-0.3,MAGA86.258
,Petstrostvet Formation ,540,DOL,,,-0.9,MAGA86.258
,Petstrostvet Formation ,540,DOL,,,-1.3,MAGA86.258
,Petstrostvet Formation ,540,DOL,,,-0.9,MAGA86.258
,Petstrostvet Formation ,540,DOL,,,-0.6,MAGA86.258
,Petstrostvet Formation ,540,DOL,,,-1.2,MAGA86.258
,Petstrostvet Formation ,540,DOL,,,0.1,MAGA86.258
,Tokammane Formation ,540,SH,0.6,-28.6,,KNOL86.832
,Tokammane Formation ,540,DOL,,,-0.2,KNOL86.832
,Tokammane Formation ,540,DOL,,,-1.8,KNOL86.832
,Tokammane Formation ,540,DOL,,,0.4,KNOL86.832
,Tokammane Formation ,540,SH,,,1.1,KNOL86.832
Late Proterozoic 550 to 600,Kirtonryggen Formation ,550,LS,,,-0.4,KNOL86.832
,Kirtonryggen Formation ,550,LS,,,-0.4,KNOL86.832
,Serie Schisto Calcaire Formation ,550,SH,,,-0.3,TUCK86..48
,Serie Schisto Calcaire Formation ,550,SH,,,0.2,TUCK86..48
,Serie Schisto Calcaire Formation ,550,SH,,,-0.3,TUCK86..48
,Serie Schisto Calcaire Formation ,550,SH,,,-0.4,TUCK86..48
,Serie Schisto Calcaire Formation ,550,SH,,,-0.1,TUCK86..48
,Serie Schisto Calcaire Formation ,550,SH,,,-0.4,TUCK86..48
,Serie Schisto Calcaire Formation ,550,SH,,,0.1,TUCK86..48
,Serie Schisto Calcaire Formation ,550,SH,,,-0.4,TUCK86..48
,Transition Beds ,555,LS,,,-0.2,TUCK86..48
,Transition Beds ,555,LS,,,0.1,TUCK.86..48
,Transition Beds ,555,LS,,,-0.3,TUCK86..48
,Transition Beds ,555,LS,,,-0.2,TUCK86..48
,Transition Beds ,555,LS,,,0.7,TUCK86..48
,Transition Beds ,555,LS,,,-0.6,TUCK86..48
,Transition Beds ,555,LS,,,0.8,TUCK86..48
,Transition Beds ,555,LS,,,-0.1,TUCK86..48
,Transition Beds ,555,LS,,,0.3,TUCK86..48
,Calcaire Supeneur Formation ,560,LS,,,-0.4,TUCK86..48
,Calcaire Supeneur Formation ,560,LS,,,-1.6,TUCK86..48
,Calcaire Supeneur Formation ,560,LS,,,2.5,TUCK86..48
,Calcaire Supeneur Formation ,560,LS,,,1.8,TUCK86..48
,Calcaire Supeneur Formation ,560,LS,,,2.4,TUCK86..48
,Calcaire Supeneur Formation ,560,LS,,,2.9,TUCK86..48
,Calcaire Supeneur Formation ,560,LS,,,2.5,TUCK86..48
,Calcaire Supeneur Formation ,560,LS,,,2.5,TUCK86..48
,Calcaire Supeneur Formation ,560,LS,,,1.7,TUCK86..48
,Calcaire Supeneur Formation ,560,LS,,,-0.3,TUCK86..48
,Cambrian ,560,LS,,,-2.1,LAMB87.14O
,Cambrian ,560,LS,,,-1.1,LAMB87.140
,"Schwarzrand ""Series"" ",560,LS,,,-1.4,SCHI75...1
,"Schwarzrand ""Series"" ",560,DOL,,,-3.8,SCHI75...1
,"Schwarzrand ""Series"" ",560,LS,,,-2.9,SCHI75...1
,"Schwarzrand ""Series"" ",560,DOL,,,-3.1,SCHI75...1
,"Schwarzrand ""Series"" ",560,LS,,,-4,SCHI75...1
,"Schwarzrand ""Series"" ",560,LS,,,-2.8,SCHI75...1
,"Schwarzrand ""Series"" ",560,DOL,,,-3.7,SCHI75...1
,"Schwarzrand ""Series"" ",560,LS,,,-6.7,SCHI75...1
,"Schwarzrand ""Series"" ",560,DOL,,,1,SCHI75...1
,"Schwarzrand ""Series"" ",560,LS,,,-0.6,SCHI75...1
,"Schwarzrand ""Series"" ",560,LS,,,-0.6,SCHI75...1
,"Schwarzrand ""Series"" ",560,LS,,,-0.2,SCHI75...1
,Tal Formation ,560,SH,7.4,-33,,BANE86.239
,Tal Formation ,560,SH,3.5,-33.6,,BANE86.239
,Tal Formation ,560,SH,8.1,-33.9,,BANE86.239
,Tal Formation ,560,SH,9.2,-34.4,,BANE86.239
,Tal Formation ,560,SH,21.9,-33.6,,BANE86.239
,Tal Formation ,560,SH,3.9,-31.4,,BANE86.239
,Tal Formation ,560,SH,20.1,-32.9,,BANE86.239
,Tal Formation ,560,SH,8.9,-32.2,,BANE86.239
,Tal Formation ,560,SH,10.1,-34.5,,BANE86.239
,Tal Formation ,560,DOL,,,0.7,AHAR87.699
,Tal Formation ,560,DOL,,,0.3,AHAR87.699
,Serie Lie de Vin Formation ,565,LS,,,-3,TUCK86..48
,Serie Lie de Vin Formation ,565,LS,,,-3,TUCK86..48
,Serie Lie de Vin Formation ,565,LS,,,-4,TUCK86..48
,Serie Lie de Vin Formation ,565,LS,,,-4.9,TUCK86..48
,Serie Lie de Vin Formation ,565,LS,,,-1.1,TUCK86..48
,Serie Lie de Vin Formation ,565,LS,,,-1.7,TUCK86..48
,Serie Lie de Vin Formation ,565,LS,,,-1.3,TUCK86..48
,Serie Lie de Vin Formation ,565,LS,,,-1.2,TUCK86..48
,Serie Lie de Vin Formation ,565,LS,,,-1.8,TUCK86..48
,Serie Lie de Vin Formation ,565,LS,,,-0.4,TUCK86..48
,Serie Lie de Vin Formation ,565,LS,,,-2.9,TUCK86..48
,Serie Lie de Vin Formation ,565,LS,,,-2.9,TUCK86..48
,Serie Lie de Vin Formation ,565,LS,,,-2.4,TUCK86..48
,Serie Lie de Vin Formation ,565,LS,,,-4.3,TUCK86..48
,Dengying Formation ,570,DOL,,-26,,LAMB87.140
,Dengying Formation ,570,DOL,,-31.7,,LAMB87.140
,Dengying Formation ,570,DOL,,,1.4,LAMB87.140
,Dengying Formation ,570,DOL,,,0.8,LAMB87.140
,Dengying Formation ,570,DOL,,,3.2,LAMB87.140
,Dengying Formation ,570,DOL,,,2.3,LAMB87.140
,Dengying Formation ,570,DOL,,,2.8,LAMB87.14O
,Dengying Formation ,570,DOL,,,2.8,LAMB87.140
,Dengying Formation ,570,DOL,,,0.8,LAMB87.140
,Dengying Formation ,570,DOL,,,2.8,LAMB87.140
,Dengying Formation ,570,DOL,,,1.6,LAMB87.140
,Dengying Formation ,570,DOL,,,1.6,LAMB87.140
