KEY,Unit,Age (Ma),Reference Code,Lithology,C (%),H (%),N (%),H/C,N/C,delCorg (‰) (PDB)
16974,Balbirini Formation ,1482,POWE87...1,CARB,87,7.19,0.51,0.99,0,
16975,Barney Creek Formation ,1500,POWE87...,SH,73.6,10.19,4.17,1.66,0,
16976,Barney Creek Formation ,1500,POWE87...,SH,78.1,10.51,3.61,1.61,0,
16977,Barney Creek Formation ,1500,POWE87...,SH,78.9,9.78,4.71,1.49,0,
16978,Barney Creek Formation ,1500,POWE87...,SH,77.8,10.01,3.24,1.54,0,
16979,Barney Creek Formation ,1500,POWE87...,SH,73.6,9.28,2.21,1.51,0,
16980,Barney Creek Formation ,1500,POWE87...,SH,83.8,8.62,3.74,1.23,0,
16981,Barney Creek Formation ,1500,POWE87...,SH,78.3,7.48,3.05,1.15,0,
16982,Barney Creek Formation ,1500,POWE87...,SH,83.8,6.49,3.55,0.93,0,
16983,Barney Creek Formation ,1500,POWE87...,SH,77,7.12,3.14,1.11,0,
16984,Barney Creek Formation ,1500,POWE87...1,SH,71.7,5.81,3.51,0.97,0,
16985,Barney Creek Formation ,1500,POWE87...1,SH,87.7,6.68,3.89,0.91,0,
16986,Barney Creek Formation ,1500,POWE87...1,SH,75.3,6.27,2.24,1,0,
16987,Barney Creek Formation ,1500,POWE87...1,SH,82.2,5.99,1.29,0.87,0,
16988,Barney Creek Formation ,1500,POWE87...1,SH,79.3,3.92,0.56,0.59,0,
16989,Barney Creek Formation ,1500,POWE87...1,SH,52.7,3.41,0.88,0.78,0,
16990,Barney Creek Formation ,1500,POWE87...1,SH,75.1,5.44,1.74,0.87,0,
16991,Barney Creek Formation ,1500,POWE87...1,SH,83.7,4.34,0.95,0.62,0,
16992,Barney Creek Formation ,1500,POWE87...1,SH,72.4,2.28,0.75,0.38,0,
16993,Barney Creek Formation ,1500,POWE87...1,SH,81.3,2.57,2.67,0.38,0,
12488,Bitter Springs Formation ,850,MCKI74.591,CARB,0,0,0,0.73,0,-18.6
16994,Bitter Springs Formation ,850,HAYE83..93,CH,97,2.73,2.85,0.34,0.025,
16995,Bitter Springs Formation ,850,MCKI8O.187,CARB,0,0,0,0.28,0,
16996,Bitter Springs Formation ,850,MCK.I80.187,CARB,0,0,0,0.46,0,
16997,Bitter Springs Formation ,850,LEVE754706,CH,0,0,0,0.1,0,
16998,Bitter Springs Formation ,850,MCKI76.163,CARB,72.7,5,1.5,0.82,0,
12503,"Black Mudstone, Utah ",830,LEVE754706,SH,0,0,0,0.1,0,-21.9
12539,Brachina Formation ,650,MCKI74.591,SH,0,0,0,0.15,0,-27.9
12540,Brachina Formation ,650,MCKI74.591,SH,0,0,0,0.11,0,-18.8
12541,Brachina Formation ,650,MCKI74.591,SH,0,0,0,0.06,0,-14.7
12670,Bulawayan Group ,2600,HAYE83..93,CARB,82,0.67,0.76,0.1,0.008,-31.2
12712,Bungle Bungle Dolomite ,1364,HAYE83..93,CH,65,1.69,1.81,0.31,0.024,-30
12713,Bungle Bungle Dolomite ,1364,HAYE83..93,SH,66,2.57,1.17,0.45,0.015,-33.5
12714,Bungle Bungle Dolomite ,1364,HAYE83..93,CARB,85,2.73,0.96,0.38,0.01,-30.2
12715,Bungle Bungle Dolomite ,1364,HAYE83..93,CARB,76,2.46,1.95,0.39,0.022,-30.7
12716,Bungle Bungle Dolomite ,1364,HAYE83..93,CARB,89,3.19,1.77,0.43,0.017,-29.3
12730,Burra Group ,800,HAYE83..93,CH,64,0.93,0.73,0.17,0.01,-23.2
13184,Duck Creek Dolomite ,2000,HAYE83..93,CARB,76,0.92,1.02,0.14,0.011,-25
13185,Duck Creek Dolomite ,2000,HAYE83..93,CH,40,1.08,0.23,0.32,0.005,-31.7
13216,Earaheedy Group ,1800,HAYE83..93,CARB,97,2.18,0.54,0.27,0.005,-33.2
13427,Fig Tree Group ,3350,HAYE83..93,CH,80,1.07,0.61,0.16,0.006,-31.9
13428,Fig Tree Group ,3350,LEVE754706,CH,0,0,0,0.1,0,-26.4
