Unit,Age (Ma),Lithology,H/C Avg,H/C range min,H/C range max,delC13 Avg (PDB),delC13 range min (PDB),delC13 range max (PDB),N
Khatyspyt Formation,620,SH,1.3,,,-36.2,,,1
Boonall Dolomite,640,CARB,0.23,,,-30.4,,,1
Sheepbed Formation,650,SH,0.23,0.22,0.25,-29.5,-29.5,-28.5,5
Twitya Formation,706,SH,0.44,0.39,0.55,-29.3,-32.1,-28.1,4
Luoquan Formation,700,SH,0.31,0.26,0.36,-29.5,-29.9,-28.9,3
Biri Formation,700,CARB,0.57,0.47,0.69,-31.6,-32.4,-30.5,4
Tindelpina Shale,750,SILT,0.18,,,-23.9,,,1
Woocalla Dolomite,750,SH,0.6,,,-29.3,,,1
River Wakefield Subgroup,775,CH,0.82,,,-24.1,-31.7,-16.4,2
Kingston Peak Formation,850,CARB,0.27,,,-26,,,1
Beck Spring Dolomite,850,CARB,0.14,,,-26.5,,,1
Love's Creek Member,850,CH,0.35,,,-26.1,,,1
Love's Creek Member,850,CARB,0.39,,,-29.7,,,1
Walcott Member,850,SH,0.84,0.77,0.91,-26.9,-27.8,-26.3,3
Walcott Member,850,CH,0.79,,,-27.2,,,1
Walcott Member,850,CARB,0.78,0.69,0.87,-26.5,-26.5,-26.5,2
Awatubi Member,862,SH,0.7,0.6,0.79,-29.8,-32.2,-27.4,2
Carbon Canyon Member,500,SH,0.74,,,-28.4,,,1
Carbon Canyon Member,500,CARB,0.64,,,-26.3,,,1
Jupiter Member,930,SH,0.57,0.49,0.6,-24,-30,-19.6,4
Red Pine Shale,950,SH,0.68,0.62,0.68,-17.4,-17.7,-17.1,2
Tanner Member,950,SH,0.53,0.51,0.55,-24.1,-28.1,-20.9,4
Allamoore Formation,1050,CH,0.31,,,-32.4,,,1
Nonesuch Shale,1055,SILT,0.53,,,-33.5,,,1
Hongshuizhuang Formation,1250,SH,0.67,0.62,0.71,-33.2,-33.4,-33,2
Wumishan Formation,1325,CH,0.54,,,-30.1,,,1
McMinn Formation,1340,SILT,0.96,0.3,1.19,-32.6,-33.2,-32.1,5
Yangzhuang Formation,1350,CH,0.49,,,-28.4,,,1
Bungle Bungle Dolomite,1364,CARB,0.3,0.26,0.34,-23.9,-25.1,-22.6,2
Dismal Lakes Group,1400,CH,0.67,,,-28.7,,,1
Greyson Shale,1420,SH,0.37,,,-28.3,,,1
Gaoyuzhuang Formation,1425,CH,0.45,0.38,0.52,-32.1,-31.4,-31,2
Newland Limestone,1440,SH,0.34,0.26,0.42,-29.7,-31.8,-27.5,2
Urquhart Shale,1670,SH,0.11,,,-28.3,,,1
Tuanshanzi Formation,1750,CARB,0.57,,,-31.4,,,1
Chuanglinggou Formation,1850,SH,0.41,0.33,0.53,-32.3,-33,-31.3,3
Koolpin Formation,1885,CH,0.17,,,-30.4,,,1
Fontano Formation,1900,SH,0.14,,,-30.1,,,1
Union Island Formation,1900,SH,0.23,,,-38.9,,,1
Rove Formation,1900,SH,0.47,0.42,0.51,-31.8,-31.2,-31.6,3
Rocknest Formation,1925,CARB,0.2,0.11,0.45,-21.7,-24.7,-12.6,5
Tyler Formation,1950,SH,0.29,0.26,0.32,-31.7,-31.8,-31.7,2
Gunflint Formation,2090,CH,0.41,0.32,0.54,-32.8,-33.1,-31.7,4
Gunflint Formation,2090,CARB,0.44,,,-31.7,,,1
Reivilo Formation,2300,SH,0.26,0.13,0.35,-35.9,-36.7,-34.5,3
Klipfonteinheuwel Formation,2325,CH,0.13,,,-37.9,,,1
Gamohaan Formation,2450,CARB,0.26,0.25,0.28,-33.7,-34.6,-32.1,5
Gamohaan Formation,2450,SH,0.18,,,-34.9,,,1
Jeerinah Formation,2650,SH,0.42,0.36,0.48,-43.2,-45.1,-41.4,2
Tumbiana Formation,2750,SH,0.47,,,-58.7,,,1
Tumbiana Formation,2750,CARB,0.3,0.28,0.32,-53.4,-53.8,-52.9,2
Tumbiana Formation,2750,CH,0.22,,,-51.8,,,1
Kromberg Formation,3300,CH,0.14,0.12,0.16,-29.7,-32.6,-26.2,3
Figtree Group,3350,CH,0.19,0.18,0.19,-28.6,-28.6,-28.5,2
Hooggenoeg Formation,3450,CH,0.2,,,-36.7,,,1
Theespruit Formation,3550,CH,0.06,,,-15.1,,,1
