Sample ID	Sample description	Formation	Location	Country	Depth (m)	Height (m)	Mineral	Era	Interval	Geon	Age (Ma)	Age (Ma)	Uncertainty (Ma)	Source: data	Source: age	Dating technique	Fe (ppm)	Mg/Ca	Mg (ppm)	Ca (wt%)	Mn (ppm)	Sr (ppm)	d13Ccalcite PDB	d13Cdolomite PDB	d13Cothers PDB	d18Ocalcite  PDB	d18Odolomite PDB	d18Oothers PDB	87Sr/86Sr	87Sr/86Srnorm.	d13Corganic PDB	Corg (wt. %)	H/C	d34Ssulfate CDT	d34Ssulfide CDT	Rb (ppm)	Dd13C 	Comments
251		Bulawayan Gr.		Rhodesia			CH	?	Neoarchean	26		2600		Schidlowski et al. (1983)									-0.8															
249		Bulawayan Gr.		Rhodesia			CH	?	Neoarchean	26		2600		Schidlowski et al. (1983)									-0.7															
206		Bulawayan Gr.		Rhodesia			C	?	Neoarchean	26		2600		Schidlowski et al. (1983)									0.5															
247		Bulawayan Gr.		Rhodesia			C	?	Neoarchean	26		2600		Schidlowski et al. (1983)									0.8															
248		Bulawayan Gr.		Rhodesia			C	?	Neoarchean	26		2600		Schidlowski et al. (1983)									1.2															
11.3		Lower Fig Tree Gr.	Umsolwana Gorge	Rhodesia			D	?	Paleoarchean	34			> 3000	Schidlowski et al. (1975)										0			-14.8											
11.1		Lower Fig Tree Gr.	Umsolwana Gorge	Rhodesia			D	?	Paleoarchean	34			> 3000	Schidlowski et al. (1975)										0			-14.42											
11.4		Lower Fig Tree Gr.	Umsolwana Gorge	Rhodesia			D	?	Paleoarchean	34			> 3000	Schidlowski et al. (1975)										0.3			-13.25											
11.2		Lower Fig Tree Gr.	Umsolwana Gorge	Rhodesia			D	?	Paleoarchean	34			> 3000	Schidlowski et al. (1975)										1.5			-12.96											
	cryptalgal microspar (1st)	Burra Group		Australia			CH	?	Tonian	8		800		Schidlowski et al. (1983)									4.62			-8.9										0.897		
400		Gobabis	Kalahari Craton	Namibia			C	?					?	Kaufman et al. (1991)									-1.92			-9.02												
MV 490		Hilda	Kalahari Craton	Namibia			C	?					?	Kaufman et al. (1991)									-0.94			-8.42												
449		Bildah	Kalahari Craton	Namibia			C	?					?	Kaufman et al. (1991)									-3.92			-6.45												
188		Bildah	Kalahari Craton	Namibia			C	?					?	Kaufman et al. (1991)									-3.72			-5.7												
MV 900		Grootderm	Kalahari Craton	Namibia			C	?					?	Kaufman et al. (1991)									-2.91			-4.65												
MV 365		Hilda	Kalahari Craton	Namibia			C	?					?	Kaufman et al. (1991)									8.76			-4.31												
134		Gobabis	Kalahari Craton	Namibia			C	?					?	Kaufman et al. (1991)									-2.83			-1.82												
460		Gobabis	Kalahari Craton	Namibia			C	?					?	Kaufman et al. (1991)									2.12			-1.36												
		Kurnool System		India			C	?					?	Eichmann & Schidlowski (1975)									3.4															
	gneiss	Chattisgarh System		India			C	?						Eichmann & Schidlowski (1975)									5															
		Damara Gr.		Namibia			C	?					?	Eichmann & Schidlowski (1975)									9.9															
		Cuddapah System		India			D	?					?	Eichmann & Schidlowski (1975)										-0.9														
		Damara Gr.		Namibia			D	?					?	Eichmann & Schidlowski (1975)										-1.1														
		Damara Gr.		Namibia			D	?					?	Eichmann & Schidlowski (1975)										2.8														
MV 364		Hilda	Kalahari Craton	Namibia			D	?					?	Kaufman et al. (1991)										5.54			-15.77											
6			Paratoo, S Australia	Australia			D	?					> 1000	Schidlowski et al. (1975)										-0.3			-5.01											
Core 3 - 265mm	associated carb.	Mushandike Formation	Masvingo (Fort Victoria)	Zimbabwe			C + d	A	Eoarchean	36		3600		Abell et al. (1985b)	Hickman (1974)	granite intrusion	4280				9000	100	0.73			-20.56												
