,Height above,d13C,d18O 
,base of,,
KEY,section (m),permil V-PDB,permil V-PDB
27703,0.025,0.93,-10.28
27704,0.075,0.81,-10.64
27705,0.125,0.87,-10.67
27706,0.175,0.65,-10.43
27707,0.25,0.91,-10.51
27708,0.3,0.61,-10.6
27709,0.35,0.78,-10.77
27710,0.425,0.73,-10.63
27711,0.45,0.77,-10.7
27712,0.5,0.42,-10.73
27713,0.575,0.41,-10.68
27714,0.625,0.14,-10.56
27715,0.675,-0.15,-10.38
27716,0.725,-0.37,-10.17
27717,0.85,-0.4,-10.09
27718,0.9,-0.63,-10.8
27719,0.9125,-0.29,-10
27720,0.925,-0.27,-10.57
27721,0.935,-0.33,-10.07
27722,0.945,-0.56,-10.19
27723,0.965,-0.19,-9.45
27724,0.98,-0.35,-9.53
27725,0.99,-0.65,-9.29
27726,1,-0.39,-9.12
27727,1.0125,-0.47,-9.01
27728,1.04,-0.29,-9.8
27729,1.05,-0.02,-9.8
27730,1.06,0.1,-9.6
27731,1.1,0.27,-10.26
27732,1.15,0.17,-10.26
27733,1.2,0.35,-9.91
27734,1.275,0.32,-10.5
27735,1.3,0.2,-10.68
27736,1.32,0.53,-10.25
27737,1.33,0.5,-10.5
27738,1.425,0.47,-10.33
27739,1.52,0.37,-10.3
27740,1.525,0.38,-10.23
27741,1.575,0.43,-10.04
27742,1.625,0.57,-10.26
27743,1.725,0.5,-10
27744,1.825,0.57,-9.51
27745,1.925,0.33,-10.13
27746,2.025,0.46,-9.89
27747,2.125,0.91,-9.38
27748,2.25,0.66,-10.15
27749,2.35,0.49,-10.12
27750,2.5,0.78,-10.26
27751,2.6,0.86,-9.93
27752,2.675,0.98,-10.06
27753,2.725,0.77,-10.29
27754,2.825,0.8,-10.51
27755,2.925,0.99,-9.98
27756,3.025,0.83,-10.43
27757,3.075,0.67,-11.05
27758,3.175,0.71,-10.11
27759,3.225,0.87,-9.79
27760,3.325,0.89,-9.88
27761,3.45,0.92,-10.59
27762,3.525,1.02,-10.27
27763,3.6,0.82,-9.9
27764,3.62,1.89,-8.87
27765,3.63,1.67,-9.34
27766,3.67,1.51,-9.55
27767,3.68,1.17,-11.4
27768,3.72,1.65,-9.7
27769,3.73,1.83,-9.71
27770,3.725,1.68,-9.9
27771,3.825,1.83,-9.76
27772,3.925,1.95,-9.91
27773,4.025,1.86,-10.03
27774,4.125,1.34,-11.01
27775,4.225,1.97,-9.62
27776,4.3,2.11,-10.01
27777,4.35,2.32,-9.31
27778,4.425,1.71,-9.85
27779,4.6,1.79,-10.53
27780,4.675,1.02,-11.49
27781,4.775,2.14,-9.55
27782,4.8,1.99,-9.77
27783,4.825,1.51,-10.31
27784,4.925,1.02,-11.69
27785,5.025,2.25,-9.7
27786,5.125,2.16,-9.5
27787,5.175,2.33,-9.87
27788,5.2,2.4,-9.51
27789,5.225,2.72,-9.21
27790,5.25,2.83,-8.78
27791,5.275,1.29,-10.46
27792,5.3,1.15,-10.71
27793,5.325,2.56,-8.53
27794,5.35,2.7,-8.9
27795,5.375,2.02,-10.3
27796,5.4,2.91,-8.84
27797,5.45,2.67,-9.43
27798,5.5,2.72,-9.78
27799,5.6,2.4,-9.75
27800,5.7,2.64,-9.64
27801,5.8,2.31,-9.94
27802,5.9,2.44,-9.91
27803,6,2.75,-9.95
