key,formation,std fm name,country,specific location,lat,long,coordinate uncertainty,coordinate source,location reference,age,age uncertainty,age reference,lithology,std lithology,hc,n,reference,internal reference,filter,reason,flag,comments
3321,Khatyspyt Formation ,Khatyspyt Fm,Russia,,61.53,-74.69,94.33,Wikipedia,,550,20,Legacy: ,SH,,1.3,1,Schopf and Klein 1992,,,,,
3322,Boonall Dolomite ,"Boonall Dolomite, Albert Edward Gp",Australia,,-27.17,133.4,20.24,Geoscience Australia,,640,,Legacy: Schopf and Klein 1992,CARB,,0.23,1,Schopf and Klein 1992,,,,,
3323,Sheepbed Formation ,"Sheepbed Fm, Rackla Gp",Canada,,56.96,-98.31,42.69,Wikipedia,,604.1,34.2,Rooney et al. 2020; Rooney et al. 2015,SH,,0.23,1,Schopf and Klein 1992,,,,,
3324,Sheepbed Formation ,"Sheepbed Fm, Rackla Gp",Canada,,56.96,-98.31,42.69,Wikipedia,,604.1,34.2,Rooney et al. 2020; Rooney et al. 2015,SH,,0.22,1,Schopf and Klein 1992,,,,,
3325,Sheepbed Formation ,"Sheepbed Fm, Rackla Gp",Canada,,56.96,-98.31,42.69,Wikipedia,,604.1,34.2,Rooney et al. 2020; Rooney et al. 2015,SH,,0.22,1,Schopf and Klein 1992,,,,,
3326,Sheepbed Formation ,"Sheepbed Fm, Rackla Gp",Canada,,56.96,-98.31,42.69,Wikipedia,,604.1,34.2,Rooney et al. 2020; Rooney et al. 2015,SH,,0.23,1,Schopf and Klein 1992,,,,,
3327,Sheepbed Formation ,"Sheepbed Fm, Rackla Gp",Canada,,56.96,-98.31,42.69,Wikipedia,,604.1,34.2,Rooney et al. 2020; Rooney et al. 2015,SH,,0.25,1,Schopf and Klein 1992,,,,,
3328,Biri Formation ,Biri Fm,Norway,,64.56,17.84,13.34,Google Maps,,700,,Legacy: Schopf and Klein 1992,CARB,,0.69,1,Schopf and Klein 1992,,,,,
3329,Biri Formation ,Biri Fm,Norway,,64.56,17.84,13.34,Google Maps,,700,,Legacy: Schopf and Klein 1992,CARB,,0.53,1,Schopf and Klein 1992,,,,,
3330,Biri Formation ,Biri Fm,Norway,,64.56,17.84,13.34,Google Maps,,700,,Legacy: Schopf and Klein 1992,CARB,,0.58,1,Schopf and Klein 1992,,,,,
3331,Biri Formation ,Biri Fm,Norway,,64.56,17.84,13.34,Google Maps,,700,,Legacy: Schopf and Klein 1992,CARB,,0.47,1,Schopf and Klein 1992,,,,,
3332,Luoquan Formation ,Luoquan Fm,China,,36.89,104.13,30.62,Wikipedia; Google Maps,,700,,Legacy: Schopf and Klein 1992,SILT,,0.26,1,Schopf and Klein 1992,,,,,
3333,Luoquan Formation ,Luoquan Fm,China,,36.89,104.13,30.62,Wikipedia; Google Maps,,700,,Legacy: Schopf and Klein 1992,SILT,,0.31,1,Schopf and Klein 1992,,,,,
3334,Luoquan Formation ,Luoquan Fm,China,,36.89,104.13,30.62,Wikipedia; Google Maps,,700,,Legacy: Schopf and Klein 1992,SILT,,0.36,1,Schopf and Klein 1992,,,,,
3335,Twitya Formation ,"Twitya Fm, Hay Creek Gp",Canada,,56.96,-98.31,42.69,Wikipedia,,653,13,Macdonald et al. 2013; Macdonald et al. 2018; Hoffman et al. 2021 Earth Science Reviews; Rooney et al. 2014,SH,,0.41,1,Schopf and Klein 1992,,,,,
