Key,Sample No.,Formation Name,Location,Country,Age,Uncertainty,Known Uncertainty,Lithology,Kerogen Type,HC,d13C,Source,Table,Notes,Age Ref
1,160,Que River Beds,Tullah; Tasmania,Australia,520,26,,SH,,0.2,-23.8,McKirdy and Powell 74,1,,
2,50,Inca Fm,Duchess; Queensland,Australia,530,27,,LS,,0.71,-30.8,McKirdy and Powell 74,1,,
3,60,Beetle Creek Fm,Duchess; Queensland,Australia,530,27,,LS,,0.87,-31.3,McKirdy and Powell 74,1,,
4,40,Moodlatana Fm,Red Hill Well; South Australia,Australia,535,27,,LS,,0.67,-29.2,McKirdy and Powell 74,1,,
5,11,Emu Bay Shale,Kangaroo Island; South Australia,Australia,545,27,,SH,,0.48,-28.4,McKirdy and Powell 74,1,,
6,130,Heatherdale Shale,Sellick Beach; South Australia,Australia,560,28,,SH,,0.19,-25.4,McKirdy and Powell 74,1,,
7,70,Parara Limestone,Stansbury; South Australia,Australia,565,28,,LS,,0.5,-28.7,McKirdy and Powell 74,1,,
8,32,Wilkawillina Limestone,Brachina Gorge; South Australia,Australia,565,28,,LS,,0.53,-28.6,McKirdy and Powell 74,1,,
9,3,Brachina Fm,Angepena Hill; South Australia,Australia,650,50,X,SH,,0.15,-27.9,McKirdy and Powell 74,1,Estimated Age 600-700,
10,TM9,Brachina Fm,Melrose; South Australia,Australia,650,50,X,SH,,0.11,-18.8,McKirdy and Powell 74,1,Estimated Age 600-700,
11,TM10,Brachina Fm,Kapunda; South Australia,Australia,650,50,X,SH,,0.06,-14.7,McKirdy and Powell 74,1,Estimated Age 600-700,
12,TM12,Tindelpina Shale Mbr,Spring Creek; South Australia,Australia,650,33,,SH,,0.14,-23.8,McKirdy and Powell 74,1,,
13,TM16,Tapley Hill Fm,Spring Creek; South Australia,Australia,700,35,,SH,,0.15,-22.9,McKirdy and Powell 74,1,,
14,TM17,Tapley Hill Fm,Darlington; South Australia,Australia,700,35,,SH,,0.18,-23.4,McKirdy and Powell 74,1,,
15,TM19,Tapley Hill Fm,Willouran Hill; South Australia,Australia,700,35,,SH,,0.25,-24.2,McKirdy and Powell 74,1,,
16,TM20,Tapley Hill Fm,Wakukaringa; South Australia,Australia,700,35,,SH,,0.09,-17.5,McKirdy and Powell 74,1,,
17,MC26,"Gillen Mbr, Bitter Springs Fm",Mount Charlotte; Northern Territory,Australia,900,45,,DOL,,0.73,-18.6,McKirdy and Powell 74,1,,
18,S405,Skillogalee Dolomite,Depot Creek; South Australia,Australia,1000,50,,DOL,,0.1,-10.8,McKirdy and Powell 74,1,,
