Formation,Age (Ma),PPRG Sample No.,Lithology,?13C ( ‰) (carb) PDB,?18O ( ‰) PDB
Chapel Island Formation ,560,2750,LS,-14.9,-17.8
Chapel Island Formation ,560,2753c,LS,-22.3,-19.3
Chapel Island Formation ,560,2754c,LS,-21.9,-18.9
Chapel Island Formation ,560,2755,LS,-23.1,-18.9
Chapel Island Formation ,560,2760,LS,-21.7,-21.5
Chapel Island Formation ,560,2761,LS,-20.6,-18.5
Chapel Island Formation ,560,2763c,LS,-15.9,-17.6
Chapel Island Formation ,560,2764,LS,-13.9,-17.8
Chapel Island Formation ,560,2765c,LS,-3.1,-15.5
Chapel Island Formation ,560,2766,LS,0.4,-17.5
Chapel Island Formation ,560,2767,LS,-1 .2,-11.2
Chapel Island Formation ,560,2768,LS,0.6,-14.4
Reed Dolomite ,570,2388,DOL,1,-13.4
Reed Dolomite ,570,2390,DOL,1.3,-11.7
Reed Dolomite ,570,2391,DOL,2.6,-12.2
Reed Dolomite ,570,2393,DOL,1.7,-11.7
Reed Dolomite ,570,2394,DOL,1.8,-12.4
Rocknest Formation ,1925,1546,DOL,0.8,-8 .9
Rocknest Formation ,1925,1547,DOL,1,-8.1
Rocknest Formation ,1925,1554,DOL,0.9,-11
Rocknest Formation ,1925,1555,DOL,1.1,-10.4
Rocknest Formation ,1925,1556,DOL,1,-10.1
Rocknest Formation ,1925,1557,DOL,1,-10.5
Rocknest Formation ,1925,1580c,DOL,1.6,-10.2
Rocknest Formation ,1925,1581c,DOL,1.7,-10.2
Rocknest Formation ,1925,1582ck,DOL,1.6,-9 .8
Hotazel Formation ,2250,2510,LS,-7 .5,-14.4
Hotazel Formation ,2250,2511,LS,-11.1,-11.2
Hotazel Formation ,2250,2511,DOL,-11.3,-12
Dales Gorge Member ,2500,487,UND,-5.1,-11.2
Dales Gorge Member ,2500,490,UND,-7.3,-12.7
