Eon,Formation,Age (Ma),Lithology,TOC,?C org ( ‰) PDB,?C carb ( ‰) PDB,N,Reference Code
Early Cambrian,Petstrostvet Formation ,540,SH,,,-0.3,32,MAGA86.258
,Tokammane Formation ,540,SH,,-28.6,1.1,1,KNOL86.823
,Tokammane Formation ,540,,,-0.1,,3,KNOL86.832
Late Proterozoic,Chulaktau Formation ,550,CH,2.55,-36,,3,PPRG
,Kirtonryggen Formation ,550,LS,,-0.4,,2,KNOL86.832
,Serie Schisto Calcaire Formation ,550,SH,,,-0.2,8,TUCK86..48
,Wyman Formation ,550,"SILT, SH",1.7,-13.1,,4,PPRG
,Transition Beds ,555,LS,,,0.1,9,TUCK86..48
,Calcaire Superieur Formation ,560,LS,,,1.4,10,TUCK86..48
,Cambrian ,560,LS,,,-1.6,2,LAMB87 .140
,Chapel Island Formation ,560,SH,0.11,-26.5,,47,PPRG
,Chapel Island Formation ,560,LS,,,-14.9,3,PPRG
,Chapel Island Formation ,560,LS,,,-21.9,5,PPRG
,Chapel Island Formation ,560,LS,,,-0.8,4,PPRG
,Schwarzrand Series ,560,CARB,,,-2.4,12,SCHI75. ..1
,Tal Formation ,560,SH,10.3,-33.3,,9,BANE86 .239
,Tal Formation ,560,DOL,,,0.5,2,AHAR87 .699
,Serie Lie de Vin Formation ,565,LS,,-2.5,,14,TUCK86..48
,Dengying Formation ,570,DOL,,-28.8,,2,LAMB87.140
,Dengying Formation ,570,DOL,,,2.5,15,LAMB87.140
,Krol E Formation ,570,DOL,,,3,3,AHAR87.699
,PC/C Boundary Beds ,570,LS,,,-0.5,1,LAMB87.140
,Reed Dolomite ,570,DOL,,,1.7,5,PPRG
,Dolomie Inferieur Formation ,580,DOL,,,1,10,TUCK86..48
,Dracoisen Formation ,580,SH,8.1,-33.2,,3,KNOL86.823
,Dracoisen Formation ,580,SH,2.4,-25.6,,2,KNOL86.823
,Dracoisen Formation ,580,"CARB, SH",,,3.1,2,KNOL86.832
,Dracoisen Formation ,580,LS,,,4.2,11,FAIR87.973
,Krol D Formation ,580,DOL,,,2.9,11,AHAR86.699
,Krol C Formation ,590,CARB,,,1.9,9,AHAR86.699
,Huqf Formation ,600,(?)OIL,,-36,,1,GRAN87...6
,Julie Member ,600,CARB,0.17,-26.7,,3,PPRG
,Krol Formation ,600,CARB,3.05,-28,,2,BANE86.239
,Kuibis Formation ,600,CARB,,-11.2,,2,EICH75.585
,Kuibis Formation ,600,CARB,,-26.2,,1,JACK78.335
,Kuibis Formation ,600,CARB,,,1.3,9,SCHI75...1
,Kuibis Formation ,600,CARB,,,2.9,2,EICH75.585
,Yudoma Formation ,600,DOL,,,-0.5,32,MAGA86.258
,Yudoma Formation ,600,CH,1.44,-32.6,,1,PPRG
,Yudoma Formation ,600,CH,0.11,-27.8,,1,PPRG
,Yudoma Formation ,600,DOL,,,5.2,2,VEIZ761387
,Khatyspyt Formation ,620,SH,207.13,-36.4,,1,PPRG
,Khatyspyt Formation ,620,CARB,4.93,-37.1,,1,PPRG
,"Late Proterozoic, Spain ",625,CARB,1.05,-27.1,,2,PPRG
,"Late Proterozoic, Spain ",625,SH,1.2,-29.7,,3,PPRG
,Canyon Formation ,630,"SH, CARB",2.05,-25.4,,2,KNOL86.823
,Canyon Formation ,630,"SH, CARB",,,-2.7,2,KNOL86.832
,Spiral Creek Formation ,630,CARB,,-28.4,,2,KNOL86.823
,Spiral Creek Formation ,630,,,,-2.6,2,KNOL86.832
,Tillite Formation ,630,SH,,-29.5,,2,KNOL86.823
,Tillite Formation ,630,CARB,,-25.5,,1,KNOL86.823
,Tillite Formation ,630,"SH,CARB",,,1.7,2,KNOL86.832
,Timperley Shale ,630,"SH, CARB",0.29,-25.9,,2,PPRG
,Boonall Dolomite ,640,CARB,0.19,-31.2,,4,PPRG
,Egan Formation ,640,DOL,,,-0.5,1,WILL79.377
,Egan Formation ,640,CARB,0.24,-29.5,,1,PPRG
,Yurabi Formation ,640,QUAR,0.02,,,1,PPRG
,Brachina Formation ,650,SH,,-21.3,,4,MCKI74.591
,Chichkan Formation ,650,CH,0.76,-27.9,,1,SCHO84.335
,Chichkan Formation ,650,CH,0.16,-28.9,,2,PPRG
,Doushantou Formation ,650,SH,,-28.5,,10,LAMB87.140
,Doushantou Formation ,650,CARB,,,4.1,16,LAMB87.140
,Etina Limestone ,650,LS,,,9.5,2,VEIZ761387
,Malmesbury Formation ,650,CARB,,-24,,10,EICH75.585
,Malmesbury Formation ,650,CARB,,,1.5,13,SCHI75...1
,Malmesbury Formation ,650,CARB,,,0.8,2,EICH75.585
,Nuccaleena Formation ,650,DOL,,,-2,1,VEIZ761387
,Nuccaleena Formation ,650,DOL,,,-2.5,2,WILL79.377
,Sheepbed Formation ,650,SH,5.56,-28.8,,10,PPRG
,Trezona Formation ,650,LS,,,-7.5,3,VEIZ761387
,Walsh Tillite ,650,DOL,,,-0.7,2,WILL79.377
