All Data
total samples in time period [organic, carbonate] [9136.0, 16246.0] 
country, count organic, % total org, count carbonate, % total carb, all samples, % total
Australia, 2053.0, 22.47, 2260.0, 13.91, 4313.0, 16.99
Russia, 266.0, 2.91, 1703.0, 10.48, 1969.0, 7.76
USA, 2205.0, 24.14, 1607.0, 9.89, 3812.0, 15.02
Kazakhstan, 6.0, 0.07, 0.0, 0.0, 6.0, 0.02
Canada, 1155.0, 12.64, 2924.0, 18.0, 4079.0, 16.07
Spain, 5.0, 0.05, 47.0, 0.29, 52.0, 0.2
Norway, 14.0, 0.15, 68.0, 0.42, 82.0, 0.32
China, 326.0, 3.57, 1132.0, 6.97, 1458.0, 5.74
Sweden, 115.0, 1.26, 42.0, 0.26, 157.0, 0.62
Scotland, 5.0, 0.05, 100.0, 0.62, 105.0, 0.41
Zimbabwe, 90.0, 0.99, 249.0, 1.53, 339.0, 1.34
India, 116.0, 1.27, 535.0, 3.29, 651.0, 2.56
South Africa, 293.0, 3.21, 517.0, 3.18, 810.0, 3.19
Spitsbergen, 29.0, 0.32, 16.0, 0.1, 45.0, 0.18
Svalbard, 117.0, 1.28, 428.0, 2.63, 545.0, 2.15
Democratic Republic of the Congo, 0.0, 0.0, 8.0, 0.05, 8.0, 0.03
Morocco, 3.0, 0.03, 46.0, 0.28, 49.0, 0.19
Namibia, 157.0, 1.72, 555.0, 3.42, 712.0, 2.81
Oman, 1.0, 0.01, 28.0, 0.17, 29.0, 0.11
Greenland, 147.0, 1.61, 130.0, 0.8, 277.0, 1.09
Brazil, 94.0, 1.03, 238.0, 1.46, 332.0, 1.31
Bolivia, 2.0, 0.02, 0.0, 0.0, 2.0, 0.01
Mauritania, 0.0, 0.0, 210.0, 1.29, 210.0, 0.83
Zambia, 0.0, 0.0, 15.0, 0.09, 15.0, 0.06
Mozambique Belt, 0.0, 0.0, 10.0, 0.06, 10.0, 0.04
Finland, 3.0, 0.03, 12.0, 0.07, 15.0, 0.06
Mongolia, 47.0, 0.51, 504.0, 3.1, 551.0, 2.17
Svalbard and Greenland, 0.0, 0.0, 26.0, 0.16, 26.0, 0.1
Gabon, 40.0, 0.44, 12.0, 0.07, 52.0, 0.2
Denmark, 99.0, 1.08, 12.0, 0.07, 111.0, 0.44
France, 2.0, 0.02, 8.0, 0.05, 10.0, 0.04
Austria, 109.0, 1.19, 0.0, 0.0, 109.0, 0.43
Slovenia, 77.0, 0.84, 0.0, 0.0, 77.0, 0.3
Hungary, 29.0, 0.32, 0.0, 0.0, 29.0, 0.11
Czechia, 1.0, 0.01, 0.0, 0.0, 1.0, 0.0
