All Data
total samples in time period [organic, carbonate] [9249.0, 17695.0] 
country, count organic, % total org, count carbonate, % total carb, all samples, % total
Australia, 2096.0, 22.66, 2273.0, 12.85, 4369.0, 16.22
Russia, 266.0, 2.88, 2014.0, 11.38, 2280.0, 8.46
USA, 2263.0, 24.47, 1714.0, 9.69, 3977.0, 14.76
Kazakhstan, 6.0, 0.06, 0.0, 0.0, 6.0, 0.02
Canada, 1155.0, 12.49, 2903.0, 16.41, 4058.0, 15.06
Spain, 5.0, 0.05, 85.0, 0.48, 90.0, 0.33
Norway, 14.0, 0.15, 68.0, 0.38, 82.0, 0.3
China, 326.0, 3.52, 1232.0, 6.96, 1558.0, 5.78
Sweden, 115.0, 1.24, 109.0, 0.62, 224.0, 0.83
Scotland, 5.0, 0.05, 100.0, 0.57, 105.0, 0.39
Zimbabwe, 89.0, 0.96, 249.0, 1.41, 338.0, 1.25
India, 116.0, 1.25, 510.0, 2.88, 626.0, 2.32
South Africa, 293.0, 3.17, 517.0, 2.92, 810.0, 3.01
Spitsbergen, 29.0, 0.31, 21.0, 0.12, 50.0, 0.19
Svalbard, 117.0, 1.27, 454.0, 2.57, 571.0, 2.12
Democratic Republic of the Congo, 0.0, 0.0, 8.0, 0.05, 8.0, 0.03
Morocco, 3.0, 0.03, 51.0, 0.29, 54.0, 0.2
Namibia, 157.0, 1.7, 555.0, 3.14, 712.0, 2.64
Oman, 1.0, 0.01, 28.0, 0.16, 29.0, 0.11
Greenland, 147.0, 1.59, 131.0, 0.74, 278.0, 1.03
Czechia, 14.0, 0.15, 0.0, 0.0, 14.0, 0.05
Brazil, 94.0, 1.02, 238.0, 1.35, 332.0, 1.23
Bolivia, 2.0, 0.02, 0.0, 0.0, 2.0, 0.01
Mauritania, 0.0, 0.0, 210.0, 1.19, 210.0, 0.78
Zambia, 0.0, 0.0, 15.0, 0.08, 15.0, 0.06
Mozambique Belt, 0.0, 0.0, 10.0, 0.06, 10.0, 0.04
Finland, 3.0, 0.03, 12.0, 0.07, 15.0, 0.06
Mongolia, 47.0, 0.51, 504.0, 2.85, 551.0, 2.04
Gabon, 40.0, 0.43, 12.0, 0.07, 52.0, 0.19
Denmark, 99.0, 1.07, 12.0, 0.07, 111.0, 0.41
France, 2.0, 0.02, 9.0, 0.05, 11.0, 0.04
Austria, 109.0, 1.18, 38.0, 0.21, 147.0, 0.55
