Country, Latitude (deg), Longitude (deg), Uncertainty (arc-deg)
Australia, -27.1668, 129.99, 16.582440556190708
Austria, 47.7, 13.344999999999999, 2.885125991337973
Africa, 1.3399999999999999, 19.04, 54.81166644298813
Argentina, -38.43, -63.59, 18.209824188850128
Azerbaijan, 40.15, 47.66, 2.817035819097065
Barents Sea, 73.36500000000001, 42.085, 8.860789038469907
Bear Island Svalbard, 74.389, 19.053449999999998, 0.051025128403595334
Belgium, 50.504999999999995, 4.48, 1.5649893428733501
Boliva, -16.275, -63.405, 8.705458739367973
Botswana, -22.35, 24.685000000000002, 6.277915355271439
Brazil, -14.24, -54.385000000000005, 26.89729919945768
Cameroon, 7.37, 12.28, 6.827015238359976
Canada, 56.955, -98.31, 24.585892028900652
Cape Verde, 16.005000000000003, -24.015, 1.7672558636561715
China, 36.89, 104.125, 28.438008917882897
Czechia, 49.805, 15.475, 2.518035631202627
Democratic Republic of the Congo, -4.029999999999999, 21.755, 13.369569000566445
Denmark, 56.155, 11.635, 2.5446010979759675
Estonia, 58.665, 24.985, 2.034985721288095
Eurasia, 39.49, -89.565, 50.14274281426645
Europe, 53.565, 28.560000000000002, 25.87979213328612
Finland, 64.8, 25.36, 5.891249227143865
France, 46.705, 6.5, 4.5298741853209386
Gabon, -0.825, 11.615, 4.272829344968272
Germany, 51.16, 10.45, 4.827044784110094
Ghana, 7.96, -0.955, 3.862414511687678
Greenland, 71.7, -42.245000000000005, 13.897956238422749
Hungary, 47.17, 19.490000000000002, 2.6782368804671517
India, 21.21, 82.795, 19.701246244884093
Ireland, 53.415000000000006, -7.955, 2.4737403483707037
Italy, 42.504999999999995, 12.57, 6.324221900343308
Japan, 32.980000000000004, 138.46, 17.881136232077708
Khazakhstan, 48.004999999999995, 66.91, 15.24042694080281
Latvia, 56.88, 24.604999999999997, 2.323883599071976
Lithuania, 55.175, 23.9, 2.107008649839899
Mauritania, 21.02, -10.975, 8.469330202308013
Mali, 17.575, -3.9850000000000003, 10.796771254219287
Mali / Mauritania, 18.73, -10.975, 9.254090221736055
Mongolia, 46.864999999999995, 103.42500000000001, 12.350385300533695
Morocco, 31.795, -7.085, 6.605775620831544
Namibia, -22.965, 18.505000000000003, 8.63120650443236
New Zealand, -40.855000000000004, 172.485, 7.869921495658929
North America, 44.595, 80.49, 45.39749317908072
North Atlantic Ocean, 35.05, -36.525000000000006, 45.297791163983106
Norway, 64.575, 17.835, 8.601753449557615
Oman, 21.575, 55.915, 6.120418422101026
Poland, 51.915, 19.134999999999998, 4.2429500407619924
Portugal, 39.555, -7.845000000000001, 2.891140615286451
Russia, 61.53, -74.69, 28.42837453577642
Scotland, 57.74, -7.2, 4.636664189345224
Slovakia, 48.67, 19.7, 2.1148574646975837
Slovenia, 46.150000000000006, 14.990000000000002, 1.3328468549891823
South Africa, -34.555, 27.225, 15.159220258106735
South America, -20.049999999999997, -54.995000000000005, 42.06231203451351
Spain, 39.89, -2.99, 6.1985241463849485
Svalbard, 78.64, 21.97, 3.1295488501479904
Spitsbergen, 78.24000000000001, 15.99, 2.1307539619193294
Sweden, 62.2, 17.560000000000002, 7.481106555459808
UK, 55.35, -3.4350000000000005, 6.2285922355417815
Ukraine, 48.385000000000005, 31.185, 7.18297915819853
Uruguay, -32.56, -55.81, 3.3176219900562236
USA, 37.25, -95.84, 25.2339043181881
Zambia, -13.14, 27.775, 7.47231340049295
Zimbabwe, -19.035, 29.160000000000004, 5.002659866898623
Middle East, 27.355, 43.975, 22.28122098871159
Mozambique Belt, -11.0, 37.0, 16.46107169265246
Taiwan, 23.604999999999997, 121.03, 1.918458128951762
